"team","round","opponent","win"
"College Prep HW","Round 2","BYE",1
"College Prep MH","Round 2","Renaissance DM",0
"Copper Hills WL","Round 2","Head Royce PC",0
"Ingraham GW","Round 2","George Washington MK",0
"Ingraham JK","Round 2","Green River NW",1
"Kent Denver KK","Round 2","Logan TX",1
"Sage Ridge KR","Round 2","Centennial MX",1
"West TG","Round 2","Green River BH",1
"Centennial MX","Round 2","Sage Ridge KR",0
"Bingham HM","Round 2","Boise ML",0
"Capital LL","Round 2","Boise SV",1
"Copper Hills BT","Round 2","Boise DR",1
"Eagle EE","Round 2","Logan AC",1
"George Washington MK","Round 2","Ingraham GW",1
"Hillcrest OM","Round 2","Logan JD",1
"Juan Diego MP","Round 2","Skyline DZ",1
"Layton NL","Round 2","OES LJ",1
"Lionel Wilson HS","Round 2","Denver Independent RW",0
"Littleton LS","Round 2","Sky View CS",1
"Rowland Hall DS","Round 2","Brighton OR",1
"Rowland Hall NB","Round 2","Juan Diego CS",1
"Rowland Harker KS","Round 2","SVDP PR",0
"Skyline DZ","Round 2","Juan Diego MP",0
"SVDP PR","Round 2","Rowland Harker KS",1
"West MP","Round 2","GPS PK",1
"Albuquerque AS","Round 2","Rowland Hall BM",0
"Bingham SS","Round 2","Notre Dame CF",0
"Brighton OR","Round 2","Rowland Hall DS",0
"Copper Hills LI","Round 2","Rowland Hall BL",0
"Juan Diego CS","Round 2","Rowland Hall NB",0
"Logan AC","Round 2","Eagle EE",0
"Lone Peak MK","Round 2","Juan Diego AB",0
"Brighton TS","Round 2","Rowland Hall LG",0
"Capital HL","Round 2","Kearns PA",1
"Green River NW","Round 2","Ingraham JK",0
"Boise DR","Round 2","Copper Hills BT",0
"Bonneville LD","Round 2","College Prep CG",0
"Centennial HH","Round 2","Desert Vista LQ",0
"College Prep LN","Round 2","Highland GO",0
"Eagle GW","Round 2","Interlake GJ",0
"GPS PK","Round 2","West MP",0
"Head Royce HW","Round 2","Skyline HL",0
"Logan JD","Round 2","Hillcrest OM",0
"Logan TX","Round 2","Kent Denver KK",0
"OES GR","Round 2","Interlake LL",0
"Sky View CS","Round 2","Littleton LS",0
"Brighton WJ","Round 2","Meadows BN",0
"Green River BH","Round 2","West TG",0
"Green River CR","Round 2","Interlake HY",0
"Green River LL","Round 2","West BL",0
"Green River MM","Round 2","Interlake DS",0
"Kearns PA","Round 2","Captial HL",0
"Sky View MN","Round 2","Centennial TW",0
"Head Royce PC","Round 3","West BL",1
"Rowland Hall LG","Round 3","Interlake GJ",1
"SVDP HM","Round 3","Kent Denver KK",1
"College Prep HS","Round 3","Skyline DZ",1
"Interlake DS","Round 3","Meadows BN",0
"Juan Diego AB","Round 3","College Prep CG",1
"Juan Diego DM","Round 3","Boise ML",1
"Meadows BN","Round 3","Interlake DS",1
"Notre Dame CF","Round 3","Rowland Hall BM",1
"Skyline HL","Round 3","Notre Dame AM",1
"Bingham WW","Round 3","Eagle EE",1
"Boise ML","Round 3","Juan Diego DM",0
"College Prep MR","Round 3","George Washington MK",1
"Denver Independent RW","Round 3","Sky View ML",0
"Desert Vista LQ","Round 3","Renaissance DM",1
"Eagle CW","Round 3","Boise SV",1
"George Washington AC","Round 3","Rowland Hall DS",1
"Glenbrook North JK","Round 3","Centennial HH",1
"Glenbrook North LM","Round 3","Captial LL",1
"Highland GO","Round 3","Interlake HY",0
"Interlake GJ","Round 3","Rowland Hall LG",0
"Interlake HY","Round 3","Highland GO",1
"Interlake LL","Round 3","Littleton LS",1
"Notre Dame AM","Round 3","Skyline HL",0
"Notre Dame He","Round 3","West MP",1
"OES LJ","Round 3","Juan Diego MP",1
"Renaissance DM","Round 3","Desert Vista LQ",1
"Rowland Hall BL","Round 3","SVDP PR",1
"Rowland Hall BM","Round 3","Notre Dame CF",0
"Sky View ML","Round 3","Denver Independent RW",1
"West BL","Round 3","Head Royce PC",0
"College Prep CG","Round 3","Juan Diego AB",0
"Boise SV","Round 3","Eagle CW",0
"Centennial TW","Round 3","Rowland Harker KS",1
"College Prep HW","Round 3","Layton NL",1
"College Prep MH","Round 3","West TG",1
"Copper Hills WL","Round 3","Capital HL",1
"Ingraham GW","Round 3","Bingham SS",1
"Ingraham JK","Round 3","Brighton TS",1
"Kent Denver KK","Round 3","SVDP HM",0
"Sage Ridge KR","Round 3","Rowland Hall NB",1
"West TG","Round 3","College Prep MH",0
"Centennial MX","Round 3","Hillcrest OM",1
"Bingham HM","Round 3","Copper Hills BT",0
"Capital LL","Round 3","Glenbrook North LM",0
"Copper Hills BT","Round 3","Bingham HM",1
"Eagle EE","Round 3","Bingham WW",0
"George Washington MK","Round 3","College Prep MR",0
"Hillcrest OM","Round 3","Centennial MX",0
"Juan Diego MP","Round 3","OES LJ",0
"Layton NL","Round 3","College Prep HW",0
"Lionel Wilson HS","Round 3","BYE",1
"Littleton LS","Round 3","Interlake LL",0
"Rowland Hall DS","Round 3","George Washington AC",0
"Rowland Hall NB","Round 3","Sage Ridge KR",0
"Rowland Harker KS","Round 3","Centennial TW",0
"Skyline DZ","Round 3","College Prep HS",0
"SVDP PR","Round 3","Rowland Hall BL",0
"West MP","Round 3","Notre Dame He",0
"Albuquerque AS","Round 3","Sky View MN",1
"Bingham SS","Round 3","Ingraham GW",0
"Brighton OR","Round 3","Logan JD",1
"Copper Hills LI","Round 3","Green River LL",1
"Juan Diego CS","Round 3","Eagle GW",1
"Logan AC","Round 3","Green River CR",1
"Lone Peak MK","Round 3","Sky View CS",1
"Brighton TS","Round 3","Ingraham JK",0
"Capital HL","Round 3","Copper Hills WL",0
"Green River NW","Round 3","Head Royce HW",0
"Boise DR","Round 3","GPS PK",0
