"team","round","opponent","win"
"Wayzata WG","Round 5","Asian Debate League TS",1
"Appleton East MR","Round 5","Walter Payton PY",0
"Eagan GP","Round 5","Rosemount SF",1
"Eagan LQ","Round 5","Edina RL",0
"Glenbrook South RF","Round 5","Wayzata BH",0
"Groves GM","Round 5","Rosemount BS",1
"Highland Park MT","Round 5","Bloomington MW",0
"Rosemount SF","Round 5","Eagan GP",0
"Roseville Area CH","Round 5","Minneapolis South FN",0
"Bloomington AB","Round 5","Georgetown Day BS",0
"Rosemount BS","Round 5","Groves GM",0
"Little Rock Central WW","Round 6","Westminster CK",1
"Walter Payton BC","Round 6","Iowa City WZ",1
"Clovis North HP","Round 6","Northside CP BE",1
"East Kentwood BO","Round 6","Glenbrook South SS",1
"Edgemont JM","Round 6","Niles West NR",1
"Highland Park BD","Round 6","Peninsula TW",1
"Homewood-Flossmoor HL","Round 6","McDonogh NJ",1
"Peninsula TW","Round 6","Highland Park BD",0
"Rowland Hall GL","Round 6","Greenhill WM",1
"Westminster CK","Round 6","Little Rock Central WW",0
"Centennial LP","Round 6","Glenbrook South CA",0
"Denver Arts School IH","Round 6","Glenbrook North BL",1
"Denver Independent RW","Round 6","Traverse City Central CF",0
"Glenbrook North BL","Round 6","Denver Arts School IH",0
"Glenbrook North CR","Round 6","Northside CP VK",1
"Glenbrook South CA","Round 6","Centennial LP",1
"Glenbrook South RS","Round 6","Peninsula JK",0
"Glenbrook South SS","Round 6","East Kentwood BO",0
"Iowa City West TR","Round 6","Niles West GG",1
"Iowa City WZ","Round 6","Walter Payton BC",0
"Lexington DC","Round 6","New Trier BK",1
"Lexington RZ","Round 6","Wayzata SH",1
"McDonogh NJ","Round 6","Homewood-Flossmoor HL",0
"New Trier BK","Round 6","Lexington DC",0
"Niles West GG","Round 6","Iowa City West TR",0
"Peninsula JK","Round 6","Glenbrook South RS",1
"Traverse City Central CF","Round 6","Denver Independent RW",1
"Westminster DH","Round 6","Lexington XW",1
"Whitney Young BF","Round 6","Wayzata WG",1
"Whitney Young RJ","Round 6","Iowa City KK",1
"Bloomington MW","Round 6","Brooklyn Independent EW",1
"Calhoun KF","Round 6","Rowland Hall MB",0
"Edina CS","Round 6","Glenbrook South BK",0
"Edina RL","Round 6","Rowland Hall BL",0
"Edina WS","Round 6","Aberdeen Central RJ",1
"Encinitas WW","Round 6","Wayzata MS",0
"Glenbrook North FT","Round 6","Wayzata AC",1
"Glenbrook South BK","Round 6","Edina CS",1
"Glenbrook South CL","Round 6","Whitney Young FS",1
"Greenhill WM","Round 6","Rowland Hall GL",0
"Iowa City West BW","Round 6","St Paul GS",0
"Lexington ML","Round 6","Kent Denver HM",1
"Marist AV","Round 6","Iowa City West JW",1
"New Trier SH","Round 6","Niles West SP",1
"Niles West NR","Round 6","Edgemont JM",0
"Niles West SP","Round 6","New Trier SH",0
"Northside CP BE","Round 6","Clovis North HP",0
"Rowland Hall BL","Round 6","Edina RL",1
"Rowland Hall MB","Round 6","Calhoun KF",1
"Sioux Falls Lincoln JH","Round 6","Westminster CB",0
"SPASH GM","Round 6","WDMV DS",1
"St Paul GS","Round 6","Iowa City West BW",1
"Wayzata MS","Round 6","Encinitas WW",1
"Wayzata SH","Round 6","Lexington RZ",0
"WDMV HH","Round 6","Eagan RW",1
"Westminster CB","Round 6","Sioux Falls Lincoln JH",1
"Whitney Young FS","Round 6","Glenbrook South CL",0
"Whitney Young SO","Round 6","Washburn HK",1
"Berkeley Prep KY","Round 6","Bloomington AB",1
"Berkeley Prep SS","Round 6","Aberdeen Central PF",1
"Brooklyn Independent EW","Round 6","Bloomington MW",0
"Eagan RW","Round 6","WDMV HH",0
"Georgetown Day BS","Round 6","Glenbrook South RF",1
"Glenbrook South PV","Round 6","Meadows BN",0
"Greenhill GR","Round 6","Kent Denver KK",1
"Groves GS","Round 6","Northside CP KS",1
"Iowa City KK","Round 6","Whitney Young RJ",0
"Iowa City West JW","Round 6","Marist AV",0
"Kent Denver KK","Round 6","Greenhill GR",0
"Lexington XW","Round 6","Westminster DH",0
"Meadows BN","Round 6","Glenbrook South PV",1
"Niles West TG","Round 6","Northside CP SJ",1
"Northside CP SJ","Round 6","Niles West TG",0
"Northside CP VK","Round 6","Glenbrook North CR",0
"Roosevelt OP","Round 6","Walter Payton PY",1
"Rosemount KS","Round 6","Asian Debate League TS",1
"Rufus King GR","Round 6","Washburn DE",1
"Walter Payton MS","Round 6","Wayzata AJ",0
"Washburn DE","Round 6","Rufus King GR",0
"Washburn HK","Round 6","Whitney Young SO",0
"Wayzata AC","Round 6","Glenbrook North FT",0
"Wayzata AJ","Round 6","Walter Payton MS",1
"Wayzata DD","Round 6","Westminster ZB",1
"Wayzata KS","Round 6","Groves GM",1
"WDMV DS","Round 6","SPASH GM",0
"Westminster ZB","Round 6","Wayzata DD",0
"Aberdeen Central PF","Round 6","Berkeley Prep SS",0
"Aberdeen Central RJ","Round 6","Edina WS",0
"Asian Debate League CC","Round 6","Eagan LQ",1
"Asian Debate League CH","Round 6","Wayzata BH",1
"Asian Debate League TS","Round 6","Rosemount KS",0
"Clovis North SM","Round 6","Minneapolis South FN",0
"Eagan SS","Round 6","Highland Park MT",1
"Edina KE","Round 6","Appleton East MR",1
"Holy Cross SS","Round 6","Niles West BS",1
"Kent Denver HM","Round 6","Lexington ML",0
"Minneapolis South FN","Round 6","Clovis North SM",1
"Niles West BS","Round 6","Holy Cross SS",0
"Niles West CB","Round 6","Eagan GP",1
"Northside CP KS","Round 6","Groves GS",0
"Walter Payton PY","Round 6","Roosevelt OP",0
"Wayzata BH","Round 6","Asian Debate League CH",0
"Wayzata So","Round 6","Rosemount BS",1
"Wayzata WG","Round 6","Whitney Young BF",0
"Appleton East MR","Round 6","Edina KE",0
"Eagan GP","Round 6","Niles West CB",0
"Eagan LQ","Round 6","Asian Debate League CC",0
"Glenbrook South RF","Round 6","Georgetown Day BS",0
"Groves GM","Round 6","Wayzata KS",0
"Highland Park MT","Round 6","Eagan SS",0
"Rosemount SF","Round 6","Roseville Area CH",1
"Roseville Area CH","Round 6","Rosemount SF",0
"Bloomington AB","Round 6","Berkeley Prep KY",0
"Rosemount BS","Round 6","Wayzata So",0
"Little Rock Central WW","Round 7","Highland Park BD",1
"Walter Payton BC","Round 7","Iowa City West TR",1
"Clovis North HP","Round 7","Peninsula JK",1
"East Kentwood BO","Round 7","Glenbrook South CA",1
"Edgemont JM","Round 7","Traverse City Central CF",1
"Highland Park BD","Round 7","Little Rock Central WW",0
"Homewood-Flossmoor HL","Round 7","Lexington DC",1
"Peninsula TW","Round 7","Denver Arts School IH",1
"Rowland Hall GL","Round 7","Iowa City WZ",1
"Westminster CK","Round 7","Rowland Hall BL",1
"Centennial LP","Round 7","New Trier SH",1
"Denver Arts School IH","Round 7","Peninsula TW",0
"Denver Independent RW","Round 7","Wayzata AJ",1
"Glenbrook North BL","Round 7","Wayzata MS",1
"Glenbrook North CR","Round 7","Westminster CB",1
"Glenbrook South CA","Round 7","East Kentwood BO",0
"Glenbrook South RS","Round 7","Glenbrook North FT",1
"Glenbrook South SS","Round 7","Rowland Hall MB",1
"Iowa City West TR","Round 7","Walter Payton BC",0
"Iowa City WZ","Round 7","Rowland Hall GL",0
"Lexington DC","Round 7","Homewood-Flossmoor HL",0
"Lexington RZ","Round 7","WDMV HH",1
"McDonogh NJ","Round 7","Marist AV",1
"New Trier BK","Round 7","Glenbrook South BK",1
"Niles West GG","Round 7","Glenbrook South CL",1
"Peninsula JK","Round 7","Clovis North HP",0
"Traverse City Central CF","Round 7","Edgemont JM",0
"Westminster DH","Round 7","SPASH GM",1
"Whitney Young BF","Round 7","Greenhill WM",1
"Whitney Young RJ","Round 7","St Paul GS",1
"Bloomington MW","Round 7","Green Hill GR",1
"Calhoun KF","Round 7","Niles West TG",1
"Edina CS","Round 7","Meadows BN",1
"Edina RL","Round 7","Groves GS",1
"Edina WS","Round 7","Lexington XW",1
"Encinitas WW","Round 7","Wayzata DD",1
"Glenbrook North FT","Round 7","Glenbrook South RS",0
"Glenbrook South BK","Round 7","New Trier BK",0
"Glenbrook South CL","Round 7","Niles West GG",0
"Greenhill WM","Round 7","Whitney Young BF",0
"Iowa City West BW","Round 7","WDMV DS",1
"Lexington ML","Round 7","Wayzata AC",1
"Marist AV","Round 7","McDonogh NJ",0
"New Trier SH","Round 7","Centennial LP",0
"Niles West NR","Round 7","Roosevelt OP",1
"Niles West SP","Round 7","Northside CP VK",1
"Northside CP BE","Round 7","Iowa City West JW",1
"Rowland Hall BL","Round 7","Westminster CK",0
"Rowland Hall MB","Round 7","Glenbrook South SS",0
"Sioux Falls Lincoln JH","Round 7","Wayzata KS",1
"SPASH GM","Round 7","Westminster DH",0
"St Paul GS","Round 7","Whitney Young RJ",0
"Wayzata MS","Round 7","Glenbrook North BL",0
"Wayzata SH","Round 7","Berkeley Prep SS",1
"WDMV HH","Round 7","Lexington RZ",0
"Westminster CB","Round 7","Glenbrook North CR",0
"Whitney Young FS","Round 7","Asian Debate League CC",1
"Whitney Young SO","Round 7","Rufus King GR",1
"Berkeley Prep KY","Round 7","Eagan SS",1
"Berkeley Prep SS","Round 7","Wayzata SH",0
"Brooklyn Independent EW","Round 7","Edina KE",1
"Eagan RW","Round 7","Holy Cross SS",1
"Georgetown Day BS","Round 7","Walter Payton PY",1
"Glenbrook South PV","Round 7","Niles West CB",1
"Greenhill GR","Round 7","Bloomington MW",0
"Groves GS","Round 7","Edina RL",0
"Iowa City KK","Round 7","Minneapolis South FN",1
"Iowa City West JW","Round 7","Northside CP BE",0
"Kent Denver KK","Round 7","Wayzata WG",1
"Lexington XW","Round 7","Edina WS",0
"Meadows BN","Round 7","Edina CS",0
"Niles West TG","Round 7","Calhoun KF",0
"Northside CP SJ","Round 7","Asian Debate League CH",1
"Northside CP VK","Round 7","Niles West SP",0
"Roosevelt OP","Round 7","Niles West NR",0
"Rosemount KS","Round 7","Northside CP KS",1
"Rufus King GR","Round 7","Whitney Young SO",0
"Walter Payton MS","Round 7","Groves GM",1
"Washburn DE","Round 7","Kent Denver HM",1
"Washburn HK","Round 7","Aberdeen Central RJ",1
"Wayzata AC","Round 7","Lexington ML",0
"Wayzata AJ","Round 7","Denver independent RW",0
"Wayzata DD","Round 7","Encinitas WW",0
"Wayzata KS","Round 7","Sioux Falls Lincoln JH",0
"WDMV DS","Round 7","Iowa City West BW",0
"Westminster ZB","Round 7","Aberdeen Central PF",1
"Aberdeen Central PF","Round 7","Westminster ZB",0
"Aberdeen Central RJ","Round 7","Washburn HK",0
"Asian Debate League CC","Round 7","Whitney Young FS",0
"Asian Debate League CH","Round 7","Northside CP SJ",0
"Asian Debate League TS","Round 7","Eagan GP",1
"Clovis North SM","Round 7","Rosemount SF",1
"Eagan SS","Round 7","Berkeley Prep KY",0
"Edina KE","Round 7","Brooklyn Independent EW",0
"Holy Cross SS","Round 7","Eagan RW",0
"Kent Denver HM","Round 7","Washburn DE",0
"Minneapolis South FN","Round 7","Iowa City KK",0
"Niles West BS","Round 7","Highland Park MT",1
"Niles West CB","Round 7","Glenbrook South PV",0
"Northside CP KS","Round 7","Rosemount KS",0
"Walter Payton PY","Round 7","Georgetown Day BS",0
"Wayzata BH","Round 7","Appleton East MR",1
"Wayzata So","Round 7","Eagan LQ",1
"Wayzata WG","Round 7","Kent Denver KK",0
"Appleton East MR","Round 7","Wayzata BH",0
"Eagan GP","Round 7","Asian Debate League TS",0
"Eagan LQ","Round 7","Wayzata So",0
"Glenbrook South RF","Round 7","Rosemount BS",1
"Groves GM","Round 7","Walter Payton MS",0
"Highland Park MT","Round 7","Niles West BS",0
"Rosemount SF","Round 7","Clovis North SM",0
"Roseville Area CH","Round 7","Bloomington AB",1
"Bloomington AB","Round 7","Roseville Area CH",0
"Rosemount BS","Round 7","Glenbrook South RF",0
