"team","round","opponent","win"
"Bloomington AB","Round 1","Niles West TG",0
"Rosemount BS","Round 1","Iowa City WZ",0
"Little Rock Central WW","Round 2","Glenbrook North FT",1
"Walter Payton BC","Round 2","WDMV DS",1
"Clovis North HP","Round 2","Wayzata MS",1
"East Kentwood BO","Round 2","Bloomington AB",1
"Edgemont JM","Round 2","Asian Debate League CH",1
"Highland Park BD","Round 2","Wayzata AC",1
"Homewood-Flossmoor HL","Round 2","Bloomington MW",1
"Peninsula TW","Round 2","Glenbrook South SS",1
"Rowland Hall GL","Round 2","Walter Payton PY",1
"Westminster CK","Round 2","BYE",1
"Centennial LP","Round 2","Greenhill WM",1
"Denver Arts School IH","Round 2","Westminster DH",1
"Denver Independent RW","Round 2","Eagan GP",1
"Glenbrook North BL","Round 2","Lexington XW",1
"Glenbrook North CR","Round 2","Lexington ML",1
"Glenbrook South CA","Round 2","Wayzata So",1
"Glenbrook South RS","Round 2","Rowland Hall BL",1
"Glenbrook South SS","Round 2","Peninsula TW",0
"Iowa City West TR","Round 2","Marist AV",1
"Iowa City WZ","Round 2","Iowa City West JW",1
"Lexington DC","Round 2","Northside CP KS",1
"Lexington RZ","Round 2","Niles West BS",1
"McDonogh NJ","Round 2","BYE",1
"New Trier BK","Round 2","Eagan SS",1
"Niles West GG","Round 2","Edina RL",1
"Peninsula JK","Round 2","Georgetown Day BS",1
"Traverse City Central CF","Round 2","Clovis North SM",1
"Westminster DH","Round 2","Denver Arts School IH",0
"Whitney Young BF","Round 2","Berkeley Prep SS",1
"Whitney Young RJ","Round 2","Asian Debate League TS",1
"Bloomington MW","Round 2","Homewood-Flossmoor HL",0
"Calhoun KF","Round 2","Eagan LQ",1
"Edina CS","Round 2","Glenbrook South RF",1
"Edina RL","Round 2","Niles West GG",0
"Edina WS","Round 2","Berkeley Prep KY",1
"Encinitas WW","Round 2","Washburn DE",1
"Glenbrook North FT","Round 2","Little Rock Central WW",0
"Glenbrook South BK","Round 2","Wayzata SH",1
"Glenbrook South CL","Round 2","Aberdeen Central PF",1
"Greenhill WM","Round 2","Centennial LP",0
"Iowa City West BW","Round 2","Aberdeen Central RJ",1
"Lexington ML","Round 2","Glenbrook North CR",0
"Marist AV","Round 2","Iowa City West TR",0
"New Trier SH","Round 2","Eagan RW",1
"Niles West NR","Round 2","Groves GS",1
"Niles West SP","Round 2","Wayzata AJ",1
"Northside CP BE","Round 2","Niles West CB",1
"Rowland Hall BL","Round 2","Glenbrook South RS",0
"Rowland Hall MB","Round 2","Walter Payton MS",1
"Sioux Falls Lincoln JH","Round 2","Rosemount KS",1
"SPASH GM","Round 2","Holy Cross SS",1
"St Paul GS","Round 2","Rosemount BS",1
"Wayzata MS","Round 2","Clovis North HP",0
"Wayzata SH","Round 2","Glenbrook South BK",0
"WDMV HH","Round 2","Wayzata WG",1
"Westminster CB","Round 2","Northside CP VK",1
"Whitney Young FS","Round 2","Rufus King GR",1
"Whitney Young SO","Round 2","Greenhill GR",0
"Berkeley Prep KY","Round 2","Edina WS",0
"Berkeley Prep SS","Round 2","Whitney Young BF",0
"Brooklyn Independent EW","Round 2","Westminster ZB",1
"Eagan RW","Round 2","New Trier SH",0
"Georgetown Day BS","Round 2","Peninsula JK",0
"Glenbrook South PV","Round 2","Groves GM",1
"Greenhill GR","Round 2","Whitney Young SO",1
"Groves GS","Round 2","Niles West NR",0
"Iowa City KK","Round 2","Niles West TG",1
"Iowa City West JW","Round 2","Iowa City WZ",0
"Kent Denver KK","Round 2","Wayzata BH",1
"Lexington XW","Round 2","Glenbrook North BL",0
"Meadows BN","Round 2","Appleton East MR",1
"Niles West TG","Round 2","Iowa City KK",0
"Northside CP SJ","Round 2","Washburn HK",1
"Northside CP VK","Round 2","Westminster CB",0
"Roosevelt OP","Round 2","Minneapolis South FN",1
"Rosemount KS","Round 2","Sioux Falls Lincoln JH",0
"Rufus King GR","Round 2","Whitney Young FS",0
"Walter Payton MS","Round 2","Rowland Hall MB",0
"Washburn DE","Round 2","Encinitas WW",0
"Washburn HK","Round 2","Northside CP SJ",0
"Wayzata AC","Round 2","Highland Park BD",0
"Wayzata AJ","Round 2","Niles West SP",0
"Wayzata DD","Round 2","Highland Park MT",1
