"team","round","opponent","win"
"Edgemont JM","Round 6","University BM",1
"GBN JT","Round 6","Walter Payton BC",1
"Niles West GG","Round 6","Westminster CK",1
"Blake SW","Round 6","Woodward AS",1
"Centennial LP","Round 6","Westminster DH",0
"College Prep JM","Round 6","Blake NW",1
"GBS AC","Round 6","Iowa City WZ",1
"Iowa City WZ","Round 6","GBS AC",1
"Law Magnet GJ","Round 6","MBA CJ",1
"Lexington SM","Round 6","SVDP MH",1
"Pace FM","Round 6","Milton FM",1
"Peninsula TW","Round 6","Alpharetta KK",1
"Rowland Hall LG","Round 6","HoFlo HL",1
"St. Mark's KP","Round 6","BCC YE",1
"Westminster DH","Round 6","Centennial LP",1
"Alpharetta KK","Round 6","Peninsula TW",0
"Alpharetta WC","Round 6","Greenhill KS",1
"BCC ID","Round 6","Jesuit CP HL",1
"BCC YE","Round 6","St. Mark's KP",0
"Blake NW","Round 6","College Prep JM",0
"Carrollton PC","Round 6","Woodward AH",1
"GBN CR","Round 6","Bronx Science GM",1
"GBN LM","Round 6","Westminster CB",1
"GBS RS","Round 6","ICW TR",0
"Head Royce PC","Round 6","GBS SS",1
"Highland Park (MN) BD","Round 6","Lexington ML",1
"HoFlo HL","Round 6","Rowland Hall LG",0
"ICW TR","Round 6","GBS RS",1
"La Costa Canyon YM","Round 6","Greenhill WM",1
"Law Magnet GT","Round 6","New Trier BK",1
"Lexington CD","Round 6","Highland Park (TX) CP",1
"Little Rock Central WW","Round 6","Pace MA",1
"MBA KR","Round 6","Leland VV",1
"McDonogh JN","Round 6","Maine East PS",1
"Notre Dame CP","Round 6","Grapevine PS",1
"Pine Crest JV","Round 6","Calhoun KS",1
"St. Mark's WG","Round 6","MBA GJ",1
"SVDP MH","Round 6","Lexington SM",0
"University BM","Round 6","Edgemont JM",0
"Walter Payton BC","Round 6","GBN JT",0
"Westminster CK","Round 6","Niles West GG",0
"Woodward BP","Round 6","WDMV HH",1
"Bishop Guertin KV","Round 6","Stuyvesant DS",1
"Brophy SS","Round 6","USN BW",1
"Caddo Magnet CM","Round 6","ICW TK",1
"Calhoun KS","Round 6","Pine Crest JV",0
"Carrollton BG","Round 6","Hawken CL",1
"GBS SS","Round 6","Head Royce PC",0
"Georgetown Day BQ","Round 6","CPS KX",1
"Greenhill KS","Round 6","Alpharetta WC",0
"Greenhill WM","Round 6","La Costa Canyon YM",0
"Head Royce DF","Round 6","Lake Oswego AT",1
"Johns Creek RL","Round 6","Calhoun BF",1
"Katy Taylor BI","Round 6","Pine Crest PR",0
"Leland VV","Round 6","MBA KR",0
"Lexington ML","Round 6","Highland Park (MN) BD",0
"Loyola GT","Round 6","Isidore Newman AZ",1
"Maine East PS","Round 6","McDonogh JN",0
"MBA CJ","Round 6","Law Magnet GJ",0
"MBA GJ","Round 6","St. Mark's WG",0
"Milton FM","Round 6","Pace FM",0
"Milton HH","Round 6","Houston Memorial SM",1
"New Trier BK","Round 6","Law Magnet GT",0
"New Trier BW","Round 6","Meadows BN",1
"New Trier HS","Round 6","Paideia RH",1
"Niles North BB","Round 6","Unionville YD",1
"Peninsula JK","Round 6","Westminster GD",1
"Ransom Everglades BC","Round 6","Johns Creek TV",1
"Rowland Hall BB","Round 6","Henry Grady CW",1
"WDMV HH","Round 6","Woodward BP",0
"Westminster CB","Round 6","GBN LM",0
"Woodward AH","Round 6","Carrollton PC",0
"Woodward AS","Round 6","Blake SW",0
"Alpharetta KV","Round 6","Northview JK",1
"Bronx Science GM","Round 6","GBN CR",0
"Calhoun BF","Round 6","Johns Creek RL",0
"Carrollton GP","Round 6","Cathedral Prep HK",1
"Cathedral Prep LS","Round 6","St. Andrew's DZ",1
"College Prep KX","Round 6","Georgetown Day BQ",0
"Ft. Lauderdale CW","Round 6","Ft. Lauderdale CW",1
"Grapevine BW","Round 6","Marist AV",0
"Grapevine PS","Round 6","Notre Dame CP",0
"Hawken CL","Round 6","Carrollton BG",0
"Hawken YZ","Round 6","Ransom Everglades FS",1
"Henry W. Grady CW","Round 6","Rowland Hall BB",0
"Highland Park (TX) CP","Round 6","Lexington CD",0
"Holy Cross SD","Round 6","Niles West TP",0
"Houston Memorial MS","Round 6","Milton HH",0
"ICW TK","Round 6","Caddo Magnet CM",0
"Jesuit Prep HL","Round 6","BCC ID",0
"Johns Creek TV","Round 6","Ransom Everglades BC",0
"Katy Taylor AL","Round 6","Jesuit LV",1
"Marist AV","Round 6","Grapevine BW",1
"Meadows BN","Round 6","New Trier BW",0
"Niles West TP","Round 6","Holy Cross SD",1
"Pace MA","Round 6","Little Rock Central WW",0
"Paideia RH","Round 6","New Trier HS",0
"Paideia UL","Round 6","Mount Vernon MM",1
"Pine Crest PR","Round 6","Katy Taylor BI",1
"Stuyvesant DS","Round 6","Bishop Guertin KV",0
"USN BW","Round 6","Brophy SS",0
"Westminster GD","Round 6","Peninsula JK",0
"Cathedral Prep HK","Round 6","Carrolton GP",0
"Chattahoochee JN","Round 6","BYE",1
"Fayetteville MS","Round 6","Chattahoochee AM",1
"Isidore Newman AZ","Round 6","Loyola GT",0
"Jesuit Prep LV","Round 6","Katy Taylor AL",0
"Lake Oswego AT","Round 6","Head Royce DF",0
"Mount Vernon MM","Round 6","Paideia UL",0
"Mountain Brook WS","Round 6","Ft Lauderdale CW",0
"Northview JK","Round 6","Alpharetta KV",0
"Ransom Everglades FS","Round 6","Hawken YZ",0
"St. Andrew's DZ","Round 6","Cathedral Prep LS",0
"Unionville YD","Round 6","Niles North BB",0
"Chattahoochee AM","Round 6","Fayetteville MS",0
