"team","round","opponent","win"
"Rowland Hall GL","Round 4","Harker SJ",1
"St. Mark's KP","Round 4","TCC CF",1
"UC Lab CR","Round 4","Walter Payton MS",1
"Westminster CK","Round 4","Loyola GT",1
"Alpharetta GK","Round 4","Wayzata JM",1
"Bellarmine AP","Round 4","Minneapolis South FN",1
"Blue Valley West BB","Round 4","Niles North BB",0
"Carrollton CP","Round 4","St. Mark's GW",1
"Centennial LP","Round 4","Winston Churchill MW",1
"Damien MP","Round 4","ICW TR",0
"Edgemont JM","Round 4","Niles West GG",0
"GPS AS","Round 4","Woodward BP",1
"Grapevine PS","Round 4","Bellarmine PS",0
"Greenhill KS","Round 4","Berkeley Prep SS",1
"Harker SH","Round 4","Carrollton TP",1
"Harker SJ","Round 4","Rowland Hall GL",0
"Harker WH","Round 4","Head Royce PC",0
"Head Royce PC","Round 4","Harker WH",1
"Highland Park BD","Round 4","Blake SW",1
"Iowa City ZW","Round 4","Little Rock WW",0
"Kapaun Mt. Carmel CE","Round 4","Rufus King GR",1
"Kinkaid RR","Round 4","Woodward AS",1
"Kinkaid YB","Round 4","Pace MT",1
"Lane Tech VH","Round 4","Sage Ridge KR",1
"MBA JC","Round 4","Law Magnet GT",0
"MBA RK","Round 4","Lane Tech CM",1
"Meadows BN","Round 4","Niles West BS",1
"Peninsula TW","Round 4","Pace FM",0
"Pine Crest VJ","Round 4","Desert Vista AG",1
"SME MD","Round 4","Rosemount KS",1
"St. Mark's GW","Round 4","Carrollton CP",0
"TCC CF","Round 4","St. Mark's KP",0
"Walter Payton BC","Round 4","SVDP HM",0
"Wayzata JM","Round 4","Alpharetta GK",0
"Whitney Young RJ","Round 4","Highland Park MM",1
"Woodward BP","Round 4","GPS AS",0
"Alpharetta WC","Round 4","Eric Solorio LN",1
"Bellarmine PS","Round 4","Grapevine PS",1
"Berkeley Prep EL","Round 4","WDMV SD",0
"Bishop Guertin ST","Round 4","Lexington CD",0
"Blake NW","Round 4","Barstow NF",1
"Bloomington CW","Round 4","Kent Denver CC",0
"Bronx Science GM","Round 4","New Trier WB",0
"BVSW ZF","Round 4","Wayzata SL",0
"Cathedral Prep LS","Round 4","HoFlo MP",1
"CPS DH","Round 4","Pine Crest TC",0
"CPS JM","Round 4","East Kentwood OB",0
"Cypress Bay VH","Round 4","Rufus King PS",1
"Denver Arts HI","Round 4","Blake BO",1
"East Kentwood OB","Round 4","College Prep JM",1
"Edina RL","Round 4","Perry HY",1
"Edina WS","Round 4","Thomas Jefferson PS",0
"Evanston FJ","Round 4","Katy Taylor BK",0
"GPS MC","Round 4","University Prep CM",0
"Head Royce FD","Round 4","Carrollton PP",1
"Highland GO","Round 4","WDMV HH",0
"ICW TR","Round 4","Damien MP",1
"Jesuit Prep BR","Round 4","West AL",1
"Jesuit Prep HL","Round 4","Notre Dame PC",0
"Jesuit Prep LV","Round 4","Barstow PD",1
"Kent Denver KC","Round 4","Wayzata JA",1
"Law Magnet GT","Round 4","MBA JC",1
"Lexington CD","Round 4","Bishop Guertin ST",1
"Lexington LM","Round 4","Law Magnet GJ",0
"Loyola GT","Round 4","Westminster CK",0
"Maine East PS","Round 4","Dougherty Valley FF",1
"MBA ZY","Round 4","Von Steuben CE",1
"Millard North HK","Round 4","Notre Dame FR",1
"New Trier WB","Round 4","Bronx Science GM",1
"Niles North BB","Round 4","Blue Valley West BB",1
"Niles West BS","Round 4","Meadows BN",0
"Pace MT","Round 4","Kinkaid YB",0
"Rufus King GR","Round 4","Kapaun Mt. Carmel CE",0
"SME BP","Round 4","Katy Taylor JG",1
"University Prep CM","Round 4","GPS MC",1
"Walter Payton MS","Round 4","UC Lab CR",0
"Washburn Rural DS","Round 4","Mukwonago MJ",1
"Wayzata SL","Round 4","BVSW ZF",1
"WDMV HH","Round 4","Highland GO",1
"WDMV SD","Round 4","Berkeley Prep EL",1
"West Bloomfield HH","Round 4","UC Lab BJ",1
"Westminster CB","Round 4","Damien JR",1
"Westwood HH","Round 4","Homestead LS",0
"Whitney Young BF","Round 4","Ft. Lauderdale CW",1
"Whitney Young SO","Round 4","Edina CS",1
"Woodward AS","Round 4","Kinkaid RR",0
"Alpharetta KK","Round 4","ICW KT",1
"Anderson SG","Round 4","OPRF PT",0
"Barstow FM","Round 4","Isidore Newman FL",1
"Berkeley Prep SS","Round 4","Greenhill KS",0
"Bishop Guertin KV","Round 4","Heartland GM",1
"Bronx Science DK","Round 4","New Trier HS",0
"Carrollton TP","Round 4","Harker SH",0
"CPS FT","Round 4","Union JS",0
"Cypress Bay HK","Round 4","Westminster DH",0
"Cypress Bay MF","Round 4","Kapaun Mt. Carmel HW",1
"Damien AY","Round 4","Neenah DD",1
"Damien JR","Round 4","Westminster CB",0
"Dowling Catholic CH","Round 4","Northside KS",0
"Eagan RW","Round 4","West PM",0
"East Kentwood MR","Round 4","Morrison SC",1
"Edina CS","Round 4","Whitney Young SO",0
"Ft. Lauderdale CW","Round 4","Whitney Young BF",0
"George Washington AC","Round 4","Lindblom TH",0
"Grapevine WB","Round 4","Mountain Brook SW",1
"Greenhill MW","Round 4","Cedar Rapids MM",1
"Highland Park MM","Round 4","Whitney Young RJ",0
"Homestead LS","Round 4","Westwood HH",0
"ICW KT","Round 4","Alpharetta KK",0
"Isidore Newman FL","Round 4","Barstow FM",0
"Isidore Newman ZA","Round 4","Mukwonago DA",0
"Kapaun Mt. Carmel HW","Round 4","Cypress Bay MF",0
"Lindblom TH","Round 4","George Washington AC",1
"Little Rock SC","Round 4","New Trier BK",0
"Millard North SB","Round 4","SVDP PR",1
"Minneapolis South FN","Round 4","Bellarmine AP",0
"Mukwonago MJ","Round 4","Washburn Rural DS",1
"Neenah DD","Round 4","Damien AY",0
"New Trier HS","Round 4","Bronx Science DK",1
"Niles West RN","Round 4","Kapaun Mt. Carmel PY",0
"Northside BE","Round 4","Eric Solorio TB",1
"Northside JS","Round 4","South Eugene LS",0
"Notre Dame FR","Round 4","Millard North HK",0
"OPRF PT","Round 4","Anderson SG",1
"Pine Crest TC","Round 4","CPS DH",1
"Sage Ridge KR","Round 4","Lane Tech VH",0
"South Eugene LS","Round 4","Northside JS",1
"Thomas Jefferson PS","Round 4","Edina WS",1
"UC Lab BJ","Round 4","West Bloomfield HH",0
"Union JS","Round 4","CPS FT",1
"Von Steuben CE","Round 4","MBA ZY",0
"Washburn Rural WN","Round 4","Munster WD",1
"West AL","Round 4","Jesuit Prep BR",0
"West Bloomfield NA","Round 4","HoFlo HL",0
"Barstow DP","Round 4","Jesuit Prep LV",0
"Barstow NF","Round 4","Blake NW",1
"Blake BO","Round 4","Denver Arts HI",0
"Carrollton PP","Round 4","Head Royce FD",0
"Cathedral Prep HK","Round 4","Okemos RZ",0
"Desert Vista AG","Round 4","Pine Crest VJ",0
"Dougherty Valley FF","Round 4","Maine East PS",0
"Evanston MM","Round 4","McDowell WS",1
"HoFlo MP","Round 4","Cathedral Prep LS",0
"Homestead CL","Round 4","Phoenix Military DL",1
"Katy Taylor BK","Round 4","Evanston FJ",0
"Katy Taylor JG","Round 4","SME BP",0
"Kent Denver CC","Round 4","Bloomington CW",1
"Lane Tech BM","Round 4","Perry HH",0
"Lane Tech CM","Round 4","MBA RK",0
"Little Rock MD","Round 4","West TB",1
"McDowell WS","Round 4","Evanston MM",0
"Munster WD","Round 4","Washburn Rural WN",0
"Northside KS","Round 4","Dowling CH",1
"Okemos RZ","Round 4","Cathedral Prep HK",1
"Perry HH","Round 4","Lane Tech BM",1
"Perry HY","Round 4","Edina RL",0
"Phoenix Military DL","Round 4","Homestead CL",0
"Rosemount KS","Round 4","SME MD",0
"UC Lab WD","Round 4","Union SG",1
"Union SG","Round 4","UC Lab WD",0
"Wayzata JA","Round 4","Kent Denver KC",0
"West PM","Round 4","Eagan RW",1
"Winston Churchill WM","Round 4","Centennial LP",0
"Wooster CL","Round 4","Rosemount BS",1
"Cedar Rapids MM","Round 4","Greenhill MW",0
"Eric Solorio LN","Round 4","Alpharetta WC",0
"Eric Solorio TB","Round 4","Northside BE",0
"Loyola CC","Round 4","Thomas Jefferson SW",1
"Morrison SC","Round 4","East Kentwood MR",0
"Mountain Brook HK","Round 4","OPRF AJ",1
"Mountain Brook SW","Round 4","Grapevine WB",0
"Mukwonago DA","Round 4","Isidore Newman ZA",0
"Rufus King PS","Round 4","Cypress Bay VH",0
"SVDP PR","Round 4","Millard North SB",0
"West TB","Round 4","Little Rock MD",0
"Heartland GM","Round 4","Bishop Guertin KV",0
"OPRF AJ","Round 4","Mountain Brook HK",0
"Rosemount BS","Round 4","Wooster CL",0
"Thomas Jefferson SW","Round 4","Loyola CC",0
"SVDP HM","Round 5","Carrollton CP",1
"Westminster DH","Round 5","Rowland Hall GL",1
"Blake SW","Round 5","WDMV SD",1
"HoFlo HL","Round 5","Millard North HK",1
"Law Magnet JG","Round 5","Highland Park BD",1
"Little Rock WW","Round 5","Whitney Young RJ",1
"New Trier BK","Round 5","Bellarmine PS",1
"Niles West GG","Round 5","Alpharetta GK",1
"Notre Dame PC","Round 5","Kinkaid YB",0
"Pace FM","Round 5","Blake NW",1
"Rowland Hall GL","Round 5","Westminster DH",0
"St. Mark's KP","Round 5","Wooster CL",1
"UC Lab CR","Round 5","Whitney Young SO",1
"Westminster CK","Round 5","ICW TR",1
"Alpharetta GK","Round 5","Niles West GG",0
"Bellarmine AP","Round 5","Greenhill MW",1
"Blue Valley West BB","Round 5","Edgemont JM",1
"Carrollton CP","Round 5","SVDP HM",0
"Centennial LP","Round 5","Kent Denver CC",1
"Damien MP","Round 5","Lexington LM",1
"Edgemont JM","Round 5","Blue Valley West BB",0
"GPS AS","Round 5","Cypress Bay HK",1
"Grapevine PS","Round 5","UC Lab BJ",1
"Greenhill KS","Round 5","CPS JM",1
"Harker SH","Round 5","Whitney Young BF",1
"Harker SJ","Round 5","New Trier HS",1
"Harker WH","Round 5","George Washington AC",1
"Head Royce PC","Round 5","Niles North BB",1
"Highland Park BD","Round 5","Law Magnet JG",0
"Iowa City ZW","Round 5","Pace MT",1
"Kapaun Mt. Carmel CE","Round 5","Head Royce FD",1
"Kinkaid RR","Round 5","Lane Tech VH",1
"Kinkaid YB","Round 5","Notre Dame PC",1
"Lane Tech VH","Round 5","Kinkaid RR",0
"MBA JC","Round 5","Kent Denver KC",1
"MBA RK","Round 5","Cypress Bay MF",1
"Meadows BN","Round 5","Jesuit HL",1
"Peninsula TW","Round 5","Walter Payton MS",1
"Pine Crest VJ","Round 5","ICW KT",1
"SME MD","Round 5","East Kentwood MR",1
"St. Mark's GW","Round 5","Wayzata JM",1
"TCC CF","Round 5","Homestead LS",1
"Walter Payton BC","Round 5","Mukwonago MJ",1
"Wayzata JM","Round 5","St. Mark's GW",0
"Whitney Young RJ","Round 5","Little Rock WW",0
"Woodward BP","Round 5","Union JS",1
"Alpharetta WC","Round 5","Ft. Lauderdale CW",1
"Bellarmine PS","Round 5","New Trier BK",0
"Berkeley Prep EL","Round 5","Thomas Jefferson PS",0
"Bishop Guertin ST","Round 5","Homestead CL",1
"Blake NW","Round 5","Pace FM",0
"Bloomington CW","Round 5","Barstow NF",1
"Bronx Science GM","Round 5","West Bloomfield NA",1
"BVSW ZF","Round 5","South Eugene LS",1
"Cathedral Prep LS","Round 5","Okemos RZ",1
"CPS DH","Round 5","Perry HH",1
"CPS JM","Round 5","Greenhill KS",0
"Cypress Bay VH","Round 5","Barstow FM",1
"Denver Arts HI","Round 5","Jesuit LV",1
"East Kentwood OB","Round 5","Wayzata SL",1
"Edina RL","Round 5","Evanston FJ",1
"Edina WS","Round 5","Mountain Brook HK",1
"Evanston FJ","Round 5","Edina RL",0
"GPS MC","Round 5","MBA ZY",0
"Head Royce FD","Round 5","Kapuan Mt Caramel CE",0
"Highland GO","Round 5","Perry HY",1
"ICW TR","Round 5","Westminster CK",0
"Jesuit Prep BR","Round 5","Damien AY",1
"Jesuit Prep HL","Round 5","Meadows BN",0
"Jesuit Prep LV","Round 5","Denver Arts HI",0
"Kent Denver KC","Round 5","Little Rock SC",1
"Law Magnet GT","Round 5","Alpharetta KK",1
"Lexington CD","Round 5","Westminster CB",1
"Lexington LM","Round 5","Damien MP",0
"Loyola GT","Round 5","New Trier WB",1
"Maine East PS","Round 5","Lindblom TH",1
"MBA ZY","Round 5","GPS MC",1
"Millard North HK","Round 5","HoFlo HL",0
"New Trier WB","Round 5","Loyola GT",0
"Niles North BB","Round 5","Head Royce PC",0
"Niles West BS","Round 5","Washburn Rural DS",0
"Pace MT","Round 5","Iowa City ZW",0
"Rufus King GR","Round 5","West PM",1
"SME BP","Round 5","Highland Park MM",1
"University Prep CM","Round 5","OPRF PT",1
"Walter Payton MS","Round 5","Peninsula TW",0
"Washburn Rural DS","Round 5","Niles West BS",1
"Wayzata SL","Round 5","East Kentwood OB",0
"WDMV HH","Round 5","Pine Crest TC",1
"WDMV SD","Round 5","Blake SW",0
"West Bloomfield HH","Round 5","Bronx Science DK",1
"Westminster CB","Round 5","Lexington CD",0
"Westwood HH","Round 5","Isidore Newman FL",1
"Whitney Young BF","Round 5","Harker SH",0
"Whitney Young SO","Round 5","UC Lab CR",0
"Woodward AS","Round 5","Northside BE",1
"Alpharetta KK","Round 5","Law Magnet GT",0
"Anderson SG","Round 5","Eric Solorio TB",1
"Barstow FM","Round 5","Cypress Bay VH",0
"Berkeley Prep SS","Round 5","Notre Dame FR",0
"Bishop Guertin KV","Round 5","West AL",1
"Bronx Science DK","Round 5","West Bloomfield HH",0
"Carrollton TP","Round 5","Little Rock MD",1
"CPS FT","Round 5","Wayzata JA",1
"Cypress Bay HK","Round 5","GPS AS",0
"Cypress Bay MF","Round 5","MBA RK",0
"Damien AY","Round 5","Jesuit BR",0
"Damien JR","Round 5","Evanston MM",1
"Dowling Catholic CH","Round 5","Heartland GM",1
"Eagan RW","Round 5","Loyala CC",1
"East Kentwood MR","Round 5","SME MD",0
"Edina CS","Round 5","Lane Tech CM",1
"Ft. Lauderdale CW","Round 5","Alpharetta WC",0
"George Washington AC","Round 5","Harker WH",0
"Grapevine WB","Round 5","MBA JC",0
"Greenhill MW","Round 5","Bellarmine AP",0
"Highland Park MM","Round 5","SME BP",0
"Homestead LS","Round 5","TCC CF",0
"ICW KT","Round 5","Pine Crest VJ",0
"Isidore Newman FL","Round 5","Westwood HH",0
"Isidore Newman ZA","Round 5","Kapaun Mt. Carmel PY",0
"Kapaun Mt. Carmel HW","Round 5","Blake BO",1
"Lindblom TH","Round 5","Maine East PS",0
"Little Rock SC","Round 5","Grapveine WB",0
"Millard North SB","Round 5","Rosemount KS",1
"Minneapolis South FN","Round 5","Sage Ridge KR",0
"Mukwonago MJ","Round 5","Walter Payton BC",0
"Neenah DD","Round 5","Von Steuben CE",0
"New Trier HS","Round 5","Harker SJ",0
"Niles West RN","Round 5","OPRF AJ",1
"Northside BE","Round 5","Woodward AS",0
"Northside JS","Round 5","Cedar Rapids MM",1
"Notre Dame FR","Round 5","Berkeley Prep SS",1
"OPRF PT","Round 5","University Prep CM",0
"Pine Crest TC","Round 5","WEMV HH",0
"Sage Ridge KR","Round 5","Minneapolis South FN",1
"South Eugene LS","Round 5","BVSW ZF",0
"Thomas Jefferson PS","Round 5","Berkeley Prep EL",1
"UC Lab BJ","Round 5","Grapevine PS",0
"Union JS","Round 5","Woodward BP",0
"Von Steuben CE","Round 5","Neenah DD",1
"Washburn Rural WN","Round 5","Lane Tech BM",0
"West AL","Round 5","Bishop Guertin KV",0
"West Bloomfield NA","Round 5","Bronx Science GM",0
"Barstow DP","Round 5","Katy Taylor JG",1
"Barstow NF","Round 5","Bloomington CW",0
"Blake BO","Round 5","Kapuan Mt Carmel HW",0
"Carrollton PP","Round 5","Cathedral Prep HK",0
"Cathedral Prep HK","Round 5","Carrollton PP",1
"Desert Vista AG","Round 5","HoFlo MP",0
"Dougherty Valley FF","Round 5","West TB",1
"Evanston MM","Round 5","Damien JR",0
"HoFlo MP","Round 5","Desert Vista AG",1
"Homestead CL","Round 5","Bishop Guertin ST",0
"Katy Taylor BK","Round 5","Mukwonago DA",1
"Katy Taylor JG","Round 5","Barstow DP",0
"Kent Denver CC","Round 5","Centennial LP",0
"Lane Tech BM","Round 5","Washburn Rural WN",1
"Lane Tech CM","Round 5","Edina CS",0
"Little Rock MD","Round 5","Carrollton TP",0
"McDowell WS","Round 5","Rufus King PS",1
"Munster WD","Round 5","Morrison SC",1
"Northside KS","Round 5","UC Lab WD",0
"Okemos RZ","Round 5","Cathedral Prep LS",0
"Perry HH","Round 5","CPS DH",0
"Perry HY","Round 5","Highland GO",0
"Phoenix Military DL","Round 5","Eric Solorio LN",1
"Rosemount KS","Round 5","Millard North SB",0
"UC Lab WD","Round 5","Northside KS",1
"Union SG","Round 5","Rosemount BS",1
"Wayzata JA","Round 5","CPS FT",0
"West PM","Round 5","Rufus King GR",0
"Winston Churchill WM","Round 5","Mountain Brook SW",1
"Wooster CL","Round 5","St. Mark's KP",0
"Cedar Rapids MM","Round 5","Northside JS",0
"Eric Solorio LN","Round 5","Phoenix Military DL",0
"Eric Solorio TB","Round 5","Anderson SG",0
"Loyola CC","Round 5","Eagan RW",0
"Morrison SC","Round 5","Munster WD",0
"Mountain Brook HK","Round 5","Edina WS",0
"Mountain Brook SW","Round 5","Winston Churcill MW",0
"Mukwonago DA","Round 5","Katy Taylor BK",0
"Rufus King PS","Round 5","McDowell WS",0
"SVDP PR","Round 5","Thomas Jefferson SW",1
"West TB","Round 5","Dougherty ValleyFF",0
"Heartland GM","Round 5","Dowling Catholic CH",0
"OPRF AJ","Round 5","Niles West RN",0
"Rosemount BS","Round 5","Union SG",0
"Thomas Jefferson SW","Round 5","SVDP PR",0
"SVDP HM","Round 6","Meadows BN",1
"Westminster DH","Round 6","Kinkaid YB",1
"Blake SW","Round 6","Blue Valley West BB",1
"HoFlo HL","Round 6","Niles West GG",1
"Law Magnet JG","Round 6","Little Rock WW",0
"Little Rock WW","Round 6","Law Magnet JG",1
"New Trier BK","Round 6","Maine East PS",1
"Niles West GG","Round 6","HoFlo HL",0
"Notre Dame PC","Round 6","Lexington CD",1
"Pace FM","Round 6","Harker SJ",1
"Rowland Hall GL","Round 6","Greenhill KS",1
"St. Mark's KP","Round 6","Kent Denver KC",1
"UC Lab CR","Round 6","Alpharetta KK",1
"Westminster CK","Round 6","Law Magnet GT",1
"Alpharetta GK","Round 6","University Prep CM",1
"Bellarmine AP","Round 6","St Mark's GW",0
"Blue Valley West BB","Round 6","Blake SW",0
"Carrollton CP","Round 6","Notre Dame FR",1
"Centennial LP","Round 6","UC Lab WD",1
"Damien MP","Round 6","Head Royce PC",0
"Edgemont JM","Round 6","OPRF PT",1
"GPS AS","Round 6","Highland Park BD",0
"Grapevine PS","Round 6","Sage Ridge KR",1
"Greenhill KS","Round 6","Rowland Hall GL",0
"Harker SH","Round 6","Walter Payton BC",1
"Harker SJ","Round 6","Pace FM",0
"Harker WH","Round 6","Carrollton TP",1
"Head Royce PC","Round 6","Damien MP",1
"Highland Park BD","Round 6","GPS AS",1
"Iowa City ZW","Round 6","Kinkaid RR",1
"Kapaun Mt. Carmel CE","Round 6","Alpharetta WC",1
"Kinkaid RR","Round 6","Iowa City ZW",0
"Kinkaid YB","Round 6","Westminster DH",0
"Lane Tech VH","Round 6","Greenhill MW",1
"MBA JC","Round 6","Jesuit BR",1
"MBA RK","Round 6","Loyola GT",1
"Meadows BN","Round 6","SVDP HM",0
"Peninsula TW","Round 6","Thomas Jefferson PS",1
"Pine Crest VJ","Round 6","Lexington LM",1
"SME MD","Round 6","Washburn Rural DS",1
"St. Mark's GW","Round 6","Bellarmine AP",1
"TCC CF","Round 6","SME BP",1
"Walter Payton BC","Round 6","Harker SH",0
"Wayzata JM","Round 6","Cypress Bay MF",1
"Whitney Young RJ","Round 6","East Kentwood OB",1
"Woodward BP","Round 6","Niles North BB",1
"Alpharetta WC","Round 6","Kapuan Mt Caramel CE",0
"Bellarmine PS","Round 6","Jesuit HL",1
"Berkeley Prep EL","Round 6","George Washington AC",1
"Bishop Guertin ST","Round 6","Whitney Young SO",0
"Blake NW","Round 6","Woodward AS",1
"Bloomington CW","Round 6","Damien AY",1
"Bronx Science GM","Round 6","Mukwonago MJ",1
"BVSW ZF","Round 6","Damien JR",1
"Cathedral Prep LS","Round 6","West Bloomfield NA",1
"CPS DH","Round 6","Kent Denver CC",1
"CPS JM","Round 6","WDMV SD",1
"Cypress Bay VH","Round 6","Millard North HK",0
"Denver Arts HI","Round 6","Lindblom TH",1
"East Kentwood OB","Round 6","Whitney Young RJ",0
"Edina RL","Round 6","New Trier WB",0
"Edina WS","Round 6","Lane Tech BM",1
"Evanston FJ","Round 6","Berkeley Prep SS",1
"GPS MC","Round 6","Cathedral Prep HK",1
"Head Royce FD","Round 6","Grapevine WB",1
"Highland GO","Round 6","Union SG",1
"ICW TR","Round 6","FFT",0
"Jesuit Prep BR","Round 6","MBA JC",0
"Jesuit Prep HL","Round 6","Bellarmine PS",0
"Jesuit Prep LV","Round 6","Northside BE",1
"Kent Denver KC","Round 6","St. Mark's KP",0
"Law Magnet GT","Round 6","Westminster CK",0
"Lexington CD","Round 6","Notre Dame PC",0
"Lexington LM","Round 6","Pine Crest VJ",0
"Loyola GT","Round 6","MBA RK",0
"Maine East PS","Round 6","New Trier BK",0
"MBA ZY","Round 6","Cypress Bay HK",1
"Millard North HK","Round 6","Cypress Bay VH",1
"New Trier WB","Round 6","Edina RL",1
"Niles North BB","Round 6","Woodward BP",0
"Niles West BS","Round 6","Homestead CL",1
"Pace MT","Round 6","Wayzata SL",0
"Rufus King GR","Round 6","Bronx Science DK",1
"SME BP","Round 6","TCC CF",0
"University Prep CM","Round 6","Alpharetta GK",0
"Walter Payton MS","Round 6","Winston Churchill WM",1
"Washburn Rural DS","Round 6","SME MD",0
"Wayzata SL","Round 6","Pace MT",1
"WDMV HH","Round 6","New Trier HS",1
"WDMV SD","Round 6","CPS JM",0
"West Bloomfield HH","Round 6","Edina CS",1
"Westminster CB","Round 6","Eagan RW",1
"Westwood HH","Round 6","Lane Tech CM",1
"Whitney Young BF","Round 6","Wooster CL",1
"Whitney Young SO","Round 6","Bishop Guertin ST",1
"Woodward AS","Round 6","Blake NW",0
"Alpharetta KK","Round 6","UC Lab CR",0
"Anderson SG","Round 6","Little Rock MD",1
"Barstow FM","Round 6","HoFlo MP",1
"Berkeley Prep SS","Round 6","Evanston FJ",0
"Bishop Guertin KV","Round 6","SVDP PR",1
"Bronx Science DK","Round 6","Rufus King GR",0
"Carrollton TP","Round 6","Harker WH",0
"CPS FT","Round 6","UC Lab BJ",1
"Cypress Bay HK","Round 6","MBA ZY",0
"Cypress Bay MF","Round 6","Wayzata JM",0
"Damien AY","Round 6","Bloomington CW",0
"Damien JR","Round 6","BVSW ZF",0
"Dowling Catholic CH","Round 6","Eric Solorio TB",1
"Eagan RW","Round 6","Westminster CB",0
"East Kentwood MR","Round 6","Ft. Lauderdale CW",1
"Edina CS","Round 6","WEst Bloomfield HH",0
"Ft. Lauderdale CW","Round 6","East Kentwood MR",0
"George Washington AC","Round 6","Berkeley Prep EL",0
"Grapevine WB","Round 6","Head Royce FD",0
"Greenhill MW","Round 6","Lane Tech VH",0
"Highland Park MM","Round 6","Dougherty Valley FF",1
"Homestead LS","Round 6","Millard North SB",1
"ICW KT","Round 6","Pine Crest TC",1
"Isidore Newman FL","Round 6","Rosemount KS",1
"Isidore Newman ZA","Round 6","Cedar Rapids MM",1
"Kapaun Mt. Carmel HW","Round 6","Union JS",1
"Lindblom TH","Round 6","Denver Arts HI",0
"Little Rock SC","Round 6","Barstow PD",1
"Millard North SB","Round 6","Homestead LS",0
"Minneapolis South FN","Round 6","Kapaun PY",0
"Mukwonago MJ","Round 6","Bronx Science GM",0
"Neenah DD","Round 6","Eric Solorio LN",1
"New Trier HS","Round 6","Woodward BP",0
"Niles West RN","Round 6","Rufus King PS",1
"Northside BE","Round 6","Jesuit LV",0
"Northside JS","Round 6","Phoenix Military DL",1
"Notre Dame FR","Round 6","Carrollton CP",0
"OPRF PT","Round 6","Edgemont JM",0
"Pine Crest TC","Round 6","ICW KT",0
"Sage Ridge KR","Round 6","Grapevine PS",0
"South Eugene LS","Round 6","Von Steuben CE",1
"Thomas Jefferson PS","Round 6","Peninsula TW",0
"UC Lab BJ","Round 6","CPS FT",0
"Union JS","Round 6","Kapaun HW",0
"Von Steuben CE","Round 6","S. Eugene LS",0
"Washburn Rural WN","Round 6","Mountain Brook HK",1
"West AL","Round 6","Evanston MM",1
"West Bloomfield NA","Round 6","Cathedral Prep LS",0
"Barstow DP","Round 6","Little Rock SC",0
"Barstow NF","Round 6","Rosemount BS",1
"Blake BO","Round 6","Thomas Jefferson SW",1
"Carrollton PP","Round 6","Munster WD",1
"Cathedral Prep HK","Round 6","Gulliver Prep MC",0
"Desert Vista AG","Round 6","Morrison SC",1
"Dougherty Valley FF","Round 6","Highland Park MM",0
"Evanston MM","Round 6","West AL",0
"HoFlo MP","Round 6","Barstow FM",0
"Homestead CL","Round 6","Niles West BS",0
"Katy Taylor BK","Round 6","Mountain Brook SW",1
"Katy Taylor JG","Round 6","West TB",1
"Kent Denver CC","Round 6","College Prep DH",0
"Lane Tech BM","Round 6","Edina WS",0
"Lane Tech CM","Round 6","Westwood HH",0
"Little Rock MD","Round 6","Anderson SG",0
"McDowell WS","Round 6","Heartland GM",1
"Munster WD","Round 6","Carrollton PP",0
"Northside KS","Round 6","Okemos RZ",1
"Okemos RZ","Round 6","Northside KS",0
"Perry HH","Round 6","Loyola CC",1
"Perry HY","Round 6","West PM",0
"Phoenix Military DL","Round 6","Northside JS",0
"Rosemount KS","Round 6","Isidore Newman FL",0
"UC Lab WD","Round 6","Centennial LP",0
"Union SG","Round 6","Highland GO",0
"Wayzata JA","Round 6","Mukwonago DA",1
"West PM","Round 6","Perry HY",1
"Winston Churchill WM","Round 6","Walter Payton MS",0
"Wooster CL","Round 6","Whitney Young BF",0
"Cedar Rapids MM","Round 6","Isidore Newman ZA",0
"Eric Solorio LN","Round 6","Neenah DD",0
"Eric Solorio TB","Round 6","Dowling Catholic CH",0
"Loyola CC","Round 6","Perry HH",0
"Morrison SC","Round 6","Desert Vista AG",0
"Mountain Brook HK","Round 6","Washburn Rural WN",0
"Mountain Brook SW","Round 6","Katy Taylor BK",0
"Mukwonago DA","Round 6","Wayzata JA",0
"Rufus King PS","Round 6","Niles West RN",0
"SVDP PR","Round 6","Bishop Guertin KV",0
"West TB","Round 6","Katy Taylor JG",0
"Heartland GM","Round 6","McDowell WS",0
"OPRF AJ","Round 6","FFT",0
"Rosemount BS","Round 6","Barstow NF",0
"Thomas Jefferson SW","Round 6","Blake BO",0
"SVDP HM","Round 7","Westminster CK",1
"Westminster DH","Round 7","Little Rock WW",1
"Blake SW","Round 7","MBA RK",1
"HoFlo HL","Round 7","Highland Park BD",1
"Law Magnet JG","Round 7","Head Royce PC",1
"Little Rock WW","Round 7","Westminster DH",0
"New Trier BK","Round 7","St. Mark's GW",1
"Niles West GG","Round 7","Carrollton CP",1
"Notre Dame PC","Round 7","Iowa City ZW",1
"Pace FM","Round 7","Kinkaid YB",1
"Rowland Hall GL","Round 7","Whitney Young RJ",1
"St. Mark's KP","Round 7","Harker SH",1
"UC Lab CR","Round 7","Alpharetta GK",1
"Westminster CK","Round 7","SVDP HM",0
"Alpharetta GK","Round 7","UC Lab CR",0
"Bellarmine AP","Round 7","Loyola GT",1
"Blue Valley West BB","Round 7","East Kentwood OB",1
"Carrollton CP","Round 7","Niles West GG",0
"Centennial LP","Round 7","CPS FT",1
"Damien MP","Round 7","Maine East PS",1
"Edgemont JM","Round 7","BVSW ZF",1
"GPS AS","Round 7","Bellarmine PS",1
