"","x"
"27053,30197",0.0524542878734847
"27536,30203",0.102084913050518
"30167,30169",0.0544625526915833
"30173,30172",0.0479808468442239
"30185,30186",0.0253071532334031
"30187,30188",0.141352366501998
"30196,30194",0.0850112075649876
"30201,30200",0.133718158397082
"30202,30195",0.0500890357455955
"30205,30204",0.166691753312673
"30207,30206",0.03643911508622
"30209,30208",0.0784315298409416
"30215,30214",0.0259770798572897
"10974,25388",0.000121230788005572
"10974,27682",9.41138607587774e-05
"12976,26629",0.000665941027436353
"13839,26550",0.000823684669473884
"15513,24510",0.00302884632459442
"15561,28959",0.000423690995484707
"15561,29074",0.000849294215097188
"15591,26568",0.0018504636982516
"15592,26466",0.00161257505025712
"15645,22801",0.00416465409524162
"15711,25195",0.000128272718231637
"15711,26866",0.000309735545165813
"15711,29455",9.20069153745264e-05
"15711,30357",0.00112500162394879
"16216,24595",0.00156331180565754
"16216,26467",0.00161221202860952
"16444,16445",0.00289104746115282
"16730,25080",0.000558259422919072
"17065,23066",0.000543534426976672
"17065,26144",0.000827631581558247
"18625,25147",0.000818248623781119
"18822,24552",0.000498082771774573
"18822,26505",0.000505054138961819
"18822,26508",0.000122492380647421
"18878,23315",0.0019036760720244
"22651,28935",0.000861201818368255
"22711,15747",0.00594830317319343
"22714,26519",0.000721363178036984
"22724,22727",0.000604891093917058
"22727,22724",0.00137111258642549
"22738,22739",0.0054889371317259
"22739,22738",0.00392150894786793
"22753,25279",0.000406330957102881
"22753,26879",0.000511143088744726
"22755,15601",0.00830013884486273
"22768,24499",0.00011909046278726
"22775,24512",0.00261232752618956
"22780,24521",0.00229639345874421
"22794,22800",0.000620908243338095
"22795,22398",0.00113149587836222
"22802,26551",0.00237013410245655
"22804,26552",0.000490486148782942
"22806,24501",0.00095535857380708
"22808,28908",0.000264042531959905
"22818,26477",0.00164996945967597
"22830,22579",0.00125366744796461
"22837,24623",0.000795997304330936
"22837,28807",0.000548289258168403
"22839,29442",0.0015469491670051
"22843,24595",8.41047100201704e-05
"22843,26467",0.000555993862847491
"22844,24593",0.00375374118524716
"22852,22851",0.00284340805754601
"22853,24606",0.00193478537094671
"22853,26550",0.000768038955721311
"22853,28941",0.00104876638570777
"22856,8160",0.00158078162512032
"22875,26483",0.000566519231973137
"22875,26484",0.000960533271474324
"22875,26671",0.000748592689685688
"22876,26672",0.000777015758647729
"22877,15762",0.00024066868315038
"22881,23967",0.00131538178021222
"22909,24804",0.000103474418064477
"22909,26823",0.00049292798896233
"22909,296",0.000490946092579533
"22911,24326",0.000933031914630535
"22911,26783",0.000789545444432787
"22914,22918",0.00195180662386599
"22916,22917",0.00765747786314172
"22917,22916",0.00216473891800321
"22918,22914",0.00203637695701085
