Size,Pairings,Type,undef_champ,top_champ,top_k_found,precision,precision_at_k,avg_prec,dcg,ndcg,tau,rho
32,Random,Mean,0.39,0.394,0.833,2.76E-01,0.125,2.28E-01,3.33E-01,7.19E-02,0.532968,0.673514
64,Random,Mean,0.78,0.784,0.70175,2.62E-01,0.4375,5.18E-01,3.84E+00,5.59E-01,0.379995,0.505835
128,Random,Mean,0.27,0.27,0.741,2.54E-01,0.25,2.64E-01,2.41E+00,2.33E-01,0.430083,0.566982
256,Random,Mean,0.688,0.688,0.750219,2.55E-01,0.203125,2.51E-01,3.40E+00,2.11E-01,0.46226,0.608922
32,Random,SD,0.488238,0.489124,0.071563,2.78E-15,0,2.50E-16,7.22E-16,1.67E-16,0.049117,0.052898
64,Random,SD,0.414661,0.411926,0.083563,2.44E-15,0,1.78E-15,2.93E-14,4.89E-15,0.041254,0.050822
128,Random,SD,0.444404,0.444404,0.061019,8.34E-16,0,1.00E-15,4.45E-15,9.45E-16,0.033069,0.038537
256,Random,SD,0.463774,0.463774,0.03885,1.67E-16,0,2.17E-15,1.29E-14,1.72E-15,0.029287,0.032316
32,Swiss,Mean,0.92,0.922,0.8025,2.86E-01,0.125,2.42E-01,3.33E-01,7.19E-02,0.511412,0.654469
64,Swiss,Mean,0.714,0.714,0.7525,2.50E-01,0.3125,3.52E-01,2.84E+00,4.14E-01,0.468434,0.61096
128,Swiss,Mean,0.666,0.666,0.749188,2.52E-01,0.1875,2.32E-01,1.80E+00,1.73E-01,0.446751,0.587689
256,Swiss,Mean,0.754,0.754,0.762656,2.50E-01,0.171875,2.19E-01,2.15E+00,1.33E-01,0.475997,0.624664
32,Swiss,SD,0.271565,0.26844,0.084827,1.56E-15,0,2.61E-15,7.22E-16,1.67E-16,0.047624,0.051544
64,Swiss,SD,0.452342,0.452342,0.077699,0.00E+00,0,2.61E-15,2.89E-14,2.95E-15,0.042373,0.048971
128,Swiss,SD,0.472112,0.472112,0.052056,3.89E-16,0,1.33E-15,1.00E-14,4.45E-16,0.04068,0.044537
256,Swiss,SD,0.43111,0.43111,0.046833,0.00E+00,0,1.14E-15,2.27E-14,0.00E+00,0.052767,0.053733
