"team","round","opponent","win"
"Harker SJ","Round 2","Westminster KD",0
"Kapaun Mt. Carmel HE","Round 2","Carrollton CP",1
"Lexington ML","Round 2","Little Rock Central WW",0
"Niles West TB","Round 2","Georgetown Day BQ",1
"Rowland Hall BB","Round 2","BVSW LH",1
"Woodward AS","Round 2","Midway CH",1
"Lionel Wilson HS","Round 2","BVSW ZF",1
"Berkeley Prep MY","Round 2","Jesuit CP BR",0
"Highland Park (TX) CM","Round 2","Glenbrook South SR",0
"Jesuit CP LV","Round 2","Harker HW",0
"Midway CH","Round 2","Woodward AS",0
"Berkeley Prep SS","Round 2","St. Mark's KP",0
"Carrollton FP","Round 2","Westminster CB",0
"Georgetown Day BQ","Round 2","Niles West TB",0
"Georgetown Day SK","Round 2","Niles North BB",0
"Midway KK","Round 2","Woodward PB",0
"Skyline AA","Round 2","Carrollton GB",0
"Skyline HL","Round 2","Woodward AH",0
"Wayzata KS","Round 2","Glenbrook South CA",0
"Berkner RD","Round 2","Greenhill KS",0
"Niles North CL","Round 2","New Trier DS",0
"Strath Haven GM","Round 2","Bishop Guertin KV",0
"Rowland Hall GL","Round 3","Bishop Guertin KV",1
"St. Mark's KP","Round 3","Greenhill KS",1
"Carrollton CP","Round 3","BVSW LH",1
"Glenbrook South CA","Round 3","Blake NW",1
"Glenbrook South SR","Round 3","Westminster KD",1
"New Trier BK","Round 3","St. Mark's GW",0
"Peninsula TW","Round 3","Woodward AH",1
"Blake NW","Round 3","Glenbrook South CA",0
"Blake SW","Round 3","Jesuit LV",1
"Carrollton GB","Round 3","Damien JR",0
"Damien MP","Round 3","LRC WW",0
"East Kentwood BO","Round 3","Wayzata JM",0
"Greenhill KS","Round 3","St. Mark's KP",0
"Highland Park (MN) BD","Round 3","Montgomery Bell KR",0
"Law Magnet GT","Round 3","Carrolton FP",0
"Little Rock Central WW","Round 3","Damien MP",1
"Marist AV","Round 3","Niles North BB",1
"Montgomery Bell KR","Round 3","Highland Park BD",1
"Notre Dame CP","Round 3","Jesuit BR",1
"Notre Dame FR","Round 3","University BM",1
"Pace FA","Round 3","Wesminster CK",0
"St. Mark's GW","Round 3","New Trier BK",1
"University BM","Round 3","Notre Dame FR",0
"Wayzata JM","Round 3","East Kentwood BO",1
"Westminster CK","Round 3","Pace FA",1
"BVSW LH","Round 3","Carrolton CP",0
"BVSW ZF","Round 3","New Trier DS",0
"Jesuit CP BR","Round 3","Notre Dame CP",0
"Jesuit CP HL","Round 3","Calhoun BF",1
"New Trier BW","Round 3","Woodward PB",1
"New Trier DS","Round 3","BVSW ZF",1
"Niles West GG","Round 3","Georgetown Day BQ",1
"Westminster KD","Round 3","Glenbrook South SR",0
"Woodward AH","Round 3","Peninsula TW",0
"Damien JR","Round 3","Carrollton GB",1
"Harker SH","Round 3","Montgomery Bell GJ",1
"HoFlo HL","Round 3","Berkner RD",1
"Montgomery Bell GJ","Round 3","Harker SH",0
"Niles North BB","Round 3","Marist AV",0
"Niles North WM","Round 3","Niles West TB",0
"Westminster RD","Round 3","Midway KK",1
"Woodward PB","Round 3","New Trier BW",0
"Westminster CB","Round 3","Kapaun Mt. Carmel HE",1
"Bishop Guertin KV","Round 3","Rowland Hall GL",0
"Calhoun BF","Round 3","Jesuit HL",0
"Harker HW","Round 3","Woodward AS",0
"Harker SJ","Round 3","Rowland Hall BB",1
"Kapaun Mt. Carmel HE","Round 3","Westminster CB",0
"Lexington ML","Round 3","Niles North CL",1
"Niles West TB","Round 3","Niles North WM",1
"Rowland Hall BB","Round 3","Harker SJ",0
"Woodward AS","Round 3","Harker HW",1
"Lionel Wilson HS","Round 3","Georgetown Day SK",1
"Berkeley Prep MY","Round 3","Skyline HL",1
"Highland Park (TX) CM","Round 3","Wayzata KS",1
"Jesuit CP LV","Round 3","Blake SW",0
"Midway CH","Round 3","Berkeley Prep SS",0
"Berkeley Prep SS","Round 3","Midway CH",1
"Carrollton FP","Round 3","Law Magnet GT",0
"Georgetown Day BQ","Round 3","Niles West GG",0
"Georgetown Day SK","Round 3","Lionel Wilson HS",0
"Midway KK","Round 3","Wesminster RD",0
"Skyline AA","Round 3","Strath Haven GM",1
"Skyline HL","Round 3","Berkeley Prep MY",0
"Wayzata KS","Round 3","Highland Park CM",1
"Berkner RD","Round 3","Hoflo HL",0
"Niles North CL","Round 3","Lexinton ML",0
"Strath Haven GM","Round 3","Skyline AA",0
"Rowland Hall GL","Round 4","St. Mark's GW",1
"St. Mark's KP","Round 4","Wesminster CK",1
"Carrollton CP","Round 4","Damien JR",1
"Glenbrook South CA","Round 4","Highland Park BD",1
"Glenbrook South SR","Round 4","Montgomery Bell KR",1
"New Trier BK","Round 4","Niles West TB",1
"Peninsula TW","Round 4","Westminster CB",1
"Blake NW","Round 4","Skyline AA",1
"Blake SW","Round 4","Harker SW",1
"Carrollton GB","Round 4","Lexington ML",1
"Damien MP","Round 4","Bishop Guertin KV",1
"East Kentwood BO","Round 4","Harker SJ",1
"Greenhill KS","Round 4","Woodward AH",1
"Highland Park (MN) BD","Round 4","Glenbrook South AC",0
"Law Magnet GT","Round 4","Niles West GG",1
"Little Rock Central WW","Round 4","Jesuit HL",1
"Marist AV","Round 4","Lionel Wilson HS",1
"Montgomery Bell KR","Round 4","Glenbrook South SR",0
"Notre Dame CP","Round 4","New Trier BW",1
"Notre Dame FR","Round 4","Woodward AS",1
"Pace FA","Round 4","Wayzata JM",0
"St. Mark's GW","Round 4","Rowland Hall GL",0
