"team","round","opponent","win"
"Nevada Union FH","Round 1","SVDP HM",0
"New Trier BY","Round 1","Sonoma GK",1
"New Trier CS","Round 1","Lionel Wilson AB",1
"New Trier DS","Round 1","Dougherty Valley FF",1
"New Trier GT","Round 1","Bingham HM",1
"Niles West BS","Round 1","Peninsula MS",1
"Niles West RN","Round 1","College Prep MM",1
"Niles West SB","Round 1","Notre Dame LH",1
"Notre Dame AM","Round 1","St George's MV",0
"Notre Dame PP","Round 1","Cypress Bay VSX",1
"Oak Hill RT","Round 1","CK McClatchy MD",1
"Oakland Tech PT","Round 1","Peninsula AS",1
"OES GR","Round 1","Juan Diego DM",0
"Sage Ridge KR","Round 1","Oakland Tech BK",1
"St George's MV","Round 1","Notre Dame AM",1
"St. Francis GL","Round 1","Orosi PR",0
"SVDP PR","Round 1","Katy Taylor",0
"Alliance Stern AV","Round 1","Isidore Newman FL",0
"Ashland DB","Round 1","Loyola CZ",0
"Barstow FN","Round 1","Cypress Bay FM",0
"Beckman CC","Round 1","LA SP",1
"Bingham KW","Round 1","University Prep CM",0
"Brophy SG","Round 1","OES JL",0
"Canyon Crest RT","Round 1","Greenhill MW",0
"Chaminade CR","Round 1","Polytechnic MH",0
"Chaminade TA","Round 1","Notre Dame CP",0
"Cherry Creek GL","Round 1","Garfield SR",0
"Clovis North SM","Round 1","Nevada Union MS",0
"College Prep NP","Round 1","Peninsula JT",0
"Crosby FM","Round 1","Sonoma DS",0
"Damien AY","Round 1","Kent Denver HC",1
"Damien CJ","Round 1","James Logan SB",1
"Damien HB","Round 1","CK McClatchy BF",0
"Denver East YO","Round 1","CK McClatchy HN",0
"Dougherty Valley FF","Round 1","New Trier DS",0
"Fairview KW","Round 1","Lowell LC",1
"Fairview LL","Round 1","Bellarmine PA",0
"Garfield CZ","Round 1","Nevada Union LM",1
"Garfield PR","Round 1","Asian Debate CS",1
"Garfield SR","Round 1","Cherry Creek GL",1
"Harker BO","Round 1","Lindale RT",0
"Harker RS","Round 1","Interlake CW",0
"Head Royce MW","Round 1","Little Rock CT",0
"Head Royce SH","Round 1","Cypress Bay HK",0
"Henry W. Grady CW","Round 1","Rowland Hall DS",1
"Interlake CW","Round 1","Harker RS",1
"Interlake RY","Round 1","Rowland Hall BM",0
"James Logan SB","Round 1","Damien CJ",0
"Kent Denver HC","Round 1","Damien AY",0
"LA SP","Round 1","Beckman CC",0
"Little Rock CT","Round 1","Head Royce MW",1
"Littleton LS","Round 1","Damien JR",0
"Lowell CL","Round 1","Polytechnic WX",0
"Lowell DZ","Round 1","Leland IC",1
"Loyola CC","Round 1","Kent Denver KK",0
"Lynbrook MC","Round 1","Lincoln Prep BM",0
"Lynbrook MK","Round 1","USN MR",1
"Nevada Union LM","Round 1","Garfield CZ",0
"New Trier CI","Round 1","University Fresno BS",1
"Palo Verde RS","Round 1","Skyline AA",1
"Peninsula MS","Round 1","Niles West BS",0
"Reno BH","Round 1","BYE",1
"Rowland Hall BS","Round 1","Harker KH",0
"Rowland Hall DS","Round 1","Henry W. Grady CW",0
"Sonoma DS","Round 1","Crosby FM",1
"Sonoma GK","Round 1","New Trier BY",0
"University Fresno BS","Round 1","New Trier CI",0
"USN BK","Round 1","Harker WH",1
"Asian Debate CS","Round 1","Garfield PR",0
"Bellarmine SJ","Round 1","AKF NF",0
"Cypress Bay VSX","Round 1","Notre Dame PP",0
"Head Royce HY","Round 1","Little Rock AD",0
"Isidore Newman AW","Round 1","Interlake LL",0
"Leland IC","Round 1","Lowell DZ",0
"Lionel Wilson AB","Round 1","New Trier CS",0
"Notre Dame LH","Round 1","Niles West SB",0
"Notre Dame Pa","Round 1","Leland JJ",0
"Oakland Tech BK","Round 1","Sage Ridge KR",0
"Orosi PR","Round 1","St. Francis GL",1
"Peninsula AS","Round 1","Oakland Tech PT",0
"Peninsula JT","Round 1","College Prep NP",1
"Sonoma VK","Round 1","S. Eugene LS",0
"University Fresno HT","Round 1","Bishop O'Dowd JH",0
"University Fresno SW","Round 1","Bellarmine C",0
"USN MR","Round 1","Lynbrook MK",0
"CK McClatchy MD","Round 1","Oak Hill RT",0
"Cupertino AT","Round 1","Damien MP",0
"Delta Charter QS","Round 1","Cypress Bay KK",0
"Lowell BC","Round 1","Cherry Creek HS",0
"Lowell LC","Round 1","Fairview KW",0
"Lynbrook VN","Round 1","Barstow MF",0
"University Fresno BR","Round 1","Jesuit Prep KT",0
"New Trier BK","Round 2","Jesuit Prep BR",1
"McDonogh JN","Round 2","Brophy SG",1
"Skyline HL","Round 2","University Fresno SW",1
"Lincoln Prep BM","Round 2","Cypress Bay FM",1
"SVDP HM","Round 2","Atholton KS",0
"Rowland Hall LG","Round 2","Notre Dame CP",1
"Clovis North PH","Round 2","Peninsula JK",0
"East Kentwood BO","Round 2","Peninsula JT",1
"Kinkaid BY","Round 2","Alliance Stern AV",1
"Walter Payton BC","Round 2","Garfield PR",1
"Bellarmine PA","Round 2","Bingham HM",1
"Notre Dame CP","Round 2","Rowland Hall LG",0
"Atholton KS","Round 2","SVDP HM",1
"Katy Taylor AL","Round 2","Green Hill MW",1
"Lane Tech HV","Round 2","Littleton LS",1
"Katy Taylor BI","Round 2","Ashland DB",1
"CK McClatchy HN","Round 2","Niles West BS",1
"Polytechnic WX","Round 2","OES GR",1
"University (NJ) MB","Round 2","Leland VV",1
"Juan Diego AB","Round 2","Santa Margarita CW",1
"CK McClatchy BF","Round 2","Brophy SS",1
"New Trier HS","Round 2","Head Royce HY",1
"CK McClatchy LP","Round 2","Peninsula AS",1
"Head Royce CP","Round 2","Oak Hill RT",0
"Chandler CS","Round 2","New Trier CS",1
"Lindale RT","Round 2","College Prep TC",1
"Peninsula JK","Round 2","Clovis North PH",1
"Centennial LP","Round 2","Nevada Union LM",1
"Peninsula TW","Round 2","College Prep XK",0
"Calhoun KS","Round 2","Isidore Newman FL",1
"Notre Dame FR","Round 2","Garfield SR",1
"Jesuit Prep BR","Round 2","New Trier BK",0
"Damien MP","Round 2","USN BK",1
"La Costa Canyon YM","Round 2","University CR",1
"Loyola GT","Round 2","Canyon Crest RT",1
"Interlake DS","Round 2","Rowland Hall DS",1
"Denver East MM","Round 2","Casady CP",1
"Juan Diego DM","Round 2","University Prep CM",0
"Polytechnic MH","Round 2","Bingham SS",1
"Bishop O'Dowd JH","Round 2","Chaminade CR",1
"Brophy SS","Round 2","CK McClatchy BF",0
"Damien JR","Round 2","Notre Dame PP",0
"Leland VV","Round 2","University (NJ) MB",0
"Jesuit Prep HL","Round 2","Oakland Tech BK",1
"S. Eugene LS","Round 2","Fairview KW",1
"Kent Denver KK","Round 2","Niles West RN",1
"Cypress Bay FM","Round 2","Lincoln Prep BM",0
"Greenhill MW","Round 2","Katy Taylor AL",0
"Lionel Wilson HS","Round 2","Rowland Hall BM",1
"Whitney Young FB","Round 2","Interlake RY",1
"New Trier BW","Round 2","Highland Park (TX) CP",1
"Whitney Young RJ","Round 2","Lynbrook MC",1
"University Prep CM","Round 2","Juan Diego DM",1
"University CR","Round 2","La Costa Canyon YM",0
"Santa Margarita CW","Round 2","Juan Diego AB",0
"USN BW","Round 2","Cypress Bay KK",1
"Rowland Hall BL","Round 2","Interlake YH",1
"Rowland Hall BM","Round 2","Lionel Wilson HS",0
"Leland YD","Round 2","Cherry Creek GL",1
"Kinkaid RR","Round 2","Calhoun BF",1
"Nevada Union MS","Round 2","Sonoma GK",1
"Chaminade AL","Round 2","Beckman CC",1
"College Prep MM","Round 2","Isidore Newman AW",1
"Skyline AA","Round 2","Notre Dame LH",1
"Barstow MF","Round 2","Loyola CC",1
"College Prep RH","Round 2","Head Royce MW",1
"College Prep XK","Round 2","Peninsula TW",1
"Cypress Bay KK","Round 2","USN BW",0
"Heritage Hall DV","Round 2","Lynbrook MK",1
"Highland GO","Round 2","St George's MV",1
"Highland Park CP","Round 2","New Trier BW",0
"Jesuit Prep KT","Round 2","SVDP PR",1
"Jesuit Prep LV","Round 2","University Fresno HT",1
"Oak Hill ES","Round 2","Lowell LC",1
"OES JL","Round 2","Notre Dame AM",1
"Polytechnic DL","Round 2","Sonoma DS",1
"AKF NF","Round 2","Rowland Hall BS",0
"Bellarmine NF","Round 2","Cypress Bay HK",0
"Bellarmine RC","Round 2","Notre Dame Pa",1
"Bellarmine SP","Round 2","Peninsula MS",1
"Bingham HM","Round 2","Bellarmine PA",0
"Bingham SS","Round 2","Polytechnic MH",0
"Bingham WW","Round 2","Oakland Tech PT",1
"Calhoun BF","Round 2","Kinkaid RR",0
"Casady CP","Round 2","Denver East MM",0
"Cherry Creek HS","Round 2","BYE",1
"College Prep DH","Round 2","Damien HB",1
"College Prep HW","Round 2","Clovis North SM",1
"College Prep JM","Round 2","Garfield CZ",1
"College Prep TC","Round 2","Lindale RT",0
"Coppell CD","Round 2","Kent Denver CC",1
"Coronado HS","Round 2","New Trier GT",1
"Cypress Bay HK","Round 2","Bellarmine N",1
"Cypress Bay VS","Round 2","Chaminade TA",1
"Encinitas WW","Round 2","Harker RS",1
"Evergreen AC","Round 2","Lowell DZ",1
"G. Washington AC","Round 2","Kent Denver HC",1
"Hamilton ZF","Round 2","Sage Ridge KR",1
"Harker HS","Round 2","Barstow FN",1
"Harker JS","Round 2","Bellarmine SJ",1
"Harker KH","Round 2","Loyola CZ",1
"Harker WH","Round 2","Little Rock JJ",1
"Head Royce DL","Round 2","LA SP",1
"Interlake GL","Round 2","Lowell BC",1
"Interlake LL","Round 2","Nevada Union FH",0
"Interlake YH","Round 2","Rowland Hall BL",0
"Isidore Newman FL","Round 2","Calhoun KS",0
"Kent Denver CC","Round 2","Coppell CD",0
"Kent Denver MM","Round 2","Dougherty Valley FF",1
"Leland JJ","Round 2","University Fresno BR",1
"Lindale DW","Round 2","Lowell CL",1
"Little Rock AD","Round 2","USN MR",1
"Little Rock JJ","Round 2","Harker WH",0
"Little Rock WW","Round 2","Crosby FM",0
"Loyola CZ","Round 2","Harker KH",0
"Nevada Union FH","Round 2","Interlake LL",1
"New Trier BY","Round 2","Cypress Bay VSX",1
"New Trier CS","Round 2","Chandler CS",0
"New Trier DS","Round 2","Orosi PR",1
"New Trier GT","Round 2","Coronado HS",0
"Niles West BS","Round 2","CK McClatchy HN",0
"Niles West RN","Round 2","Kent Denver KK",0
"Niles West SB","Round 2","University Fresno BS",1
"Notre Dame AM","Round 2","OES JL",0
"Notre Dame PP","Round 2","Damien JR",1
"Oak Hill RT","Round 2","Head Royce CP",1
"Oakland Tech PT","Round 2","Bingham WW",0
"OES GR","Round 2","Polytechnic WX",0
"Sage Ridge KR","Round 2","Hamilton ZF",0
"St George's MV","Round 2","Highland GO",0
"St. Francis GL","Round 2","Damien CJ",0
"SVDP PR","Round 2","Jesuit Prep KT",0
"Alliance Stern AV","Round 2","Kinkaid BY",0
"Ashland DB","Round 2","Katy Taylor BI",0
"Barstow FN","Round 2","Harker HS",0
"Beckman CC","Round 2","Chaminade AL",0
"Bingham KW","Round 2","Palo Verde RS",0
"Brophy SG","Round 2","McDonogh JN",0
"Canyon Crest RT","Round 2","Loyola GT",0
"Chaminade CR","Round 2","Bishop O'Dowd JH",0
"Chaminade TA","Round 2","Cypress Bay VS",0
"Cherry Creek GL","Round 2","Leland YD",0
"Clovis North SM","Round 2","College Prep HW",0
"College Prep NP","Round 2","Asian Debate CS",0
"Crosby FM","Round 2","Little Rock WW",1
"Damien AY","Round 2","Fairview LL",1
"Damien CJ","Round 2","St. Francis GL",1
"Damien HB","Round 2","College Prep DH",0
"Denver East YO","Round 2","Cupertino AT",1
"Dougherty Valley FF","Round 2","Kent Denver MM",0
"Fairview KW","Round 2","S. Eugene LS",0
"Fairview LL","Round 2","Damien AY",0
"Garfield CZ","Round 2","College Prep JM",0
"Garfield PR","Round 2","Walter Payton BC",0
"Garfield SR","Round 2","Notre Dame FR",0
"Harker BO","Round 2","Lionel Wilson AB",1
"Harker RS","Round 2","Encinitas WW",0
"Head Royce MW","Round 2","College Prep RH",0
"Head Royce SH","Round 2","Reno BH",0
"Henry W. Grady CW","Round 2","James Logan SB",0
"Interlake CW","Round 2","Delta Charter QS",1
"Interlake RY","Round 2","Whitney Young FB",0
"James Logan SB","Round 2","Henry W. Grady CW",1
"Kent Denver HC","Round 2","GW AC",0
"LA SP","Round 2","Head Royce DL",0
"Little Rock CT","Round 2","Sonoma VK",0
"Littleton LS","Round 2","Lane Tech HV",0
"Lowell CL","Round 2","Lindale DW",0
"Lowell DZ","Round 2","Evergreen AC",0
"Loyola CC","Round 2","Barstow MF",0
"Lynbrook MC","Round 2","Whitney Young RJ",0
"Lynbrook MK","Round 2","Heritage Hall DV",0
"Nevada Union LM","Round 2","Centennial LP",0
"New Trier CI","Round 2","Lynbrook VN",1
"Palo Verde RS","Round 2","Bingham KW",1
"Peninsula MS","Round 2","Bellarmine S",0
"Reno BH","Round 2","Head Royce SH",1
"Rowland Hall BS","Round 2","AKF NF",1
"Rowland Hall DS","Round 2","Interlake DS",0
"Sonoma DS","Round 2","Polytechnic DL",0
"Sonoma GK","Round 2","Nevada Union MS",0
"University Fresno BS","Round 2","Niles West SB",0
"USN BK","Round 2","Damien MP",0
"Asian Debate CS","Round 2","College Prep NP",1
"Bellarmine SJ","Round 2","Harker JS",0
"Cypress Bay VSX","Round 2","New Trier BY",0
"Head Royce HY","Round 2","New Trier HS",0
"Isidore Newman AW","Round 2","College Prep MM",0
"Leland IC","Round 2","CK McClatchy MD",0
"Lionel Wilson AB","Round 2","Harker BO",0
"Notre Dame LH","Round 2","Skyline AA",0
"Notre Dame Pa","Round 2","Bellarmine C",0
"Oakland Tech BK","Round 2","Jesuit Prep HL",0
"Orosi PR","Round 2","New Trier DS",0
"Peninsula AS","Round 2","CK McClatchy LP",0
"Peninsula JT","Round 2","East Kentwood BO",0
"Sonoma VK","Round 2","Little Rock CT",1
"University Fresno HT","Round 2","Jesuit Prep LV",0
"University Fresno SW","Round 2","Skyline HL",0
"USN MR","Round 2","Little Rock AD",0
"CK McClatchy MD","Round 2","Leland IC",1
"Cupertino AT","Round 2","Denver East YO",0
"Delta Charter QS","Round 2","Interlake CW",0
"Lowell BC","Round 2","Interlake GL",0
"Lowell LC","Round 2","Oak Hill ES",0
"Lynbrook VN","Round 2","New Trier CI",0
"University Fresno BR","Round 2","Leland JJ",0
"New Trier BK","Round 3","Interlake CW",1
"McDonogh JN","Round 3","Bellarmine PA",1
"Skyline HL","Round 3","Jesuit Prep LV",1
"Lincoln Prep BM","Round 3","Katy Taylor BI",1
"SVDP HM","Round 3","Interlake LL",1
"Rowland Hall LG","Round 3","Oakland Tech PT",1
"Clovis North PH","Round 3","Harker BO",1
"East Kentwood BO","Round 3","AKF NF",1
"Kinkaid BY","Round 3","Peninsula TW",1
"Walter Payton BC","Round 3","College Prep MM",1
"Bellarmine PA","Round 3","McDonogh JN",0
"Notre Dame CP","Round 3","Rowland Hall BS",1
"Atholton KS","Round 3","Bellarmine RC",1
"Katy Taylor AL","Round 3","La Costa Canyon YM",1
"Lane Tech HV","Round 3","New Trier HS",0
"Katy Taylor BI","Round 3","Lincoln Prep BM",0
