"team","round","opponent","win"
"Little Rock CT","Round 3","USN BK",1
"Littleton LS","Round 3","Ashland DB",1
"Lowell CL","Round 3","University Fresno BR",1
"Lowell DZ","Round 3","Niles West RN",0
"Loyola CC","Round 3","Alliance Stern AV",0
"Lynbrook MC","Round 3","LA SP",0
"Lynbrook MK","Round 3","Damien JR",0
"Nevada Union LM","Round 3","Bellarmine RCP N",0
"New Trier CI","Round 3","Notre Dame FR",0
"Palo Verde RS","Round 3","Lindale RT",0
"Peninsula MS","Round 3","Harker RS",0
"Reno BH","Round 3","New Trier DS",0
"Rowland Hall BS","Round 3","Notre Dame CP",0
"Rowland Hall DS","Round 3","Highland Park CP",0
"Sonoma DS","Round 3","Rowland Hall BM",0
"Sonoma GK","Round 3","Clovis North SM",1
"University Fresno BS","Round 3","Little Rock WW",0
"USN BK","Round 3","Little Rock CT",0
"Asian Debate CS","Round 3","College Prep XK",0
"Bellarmine SJ","Round 3","Santa Margarita CW",0
"Cypress Bay VSX","Round 3","Kent Denver HC",1
"Head Royce HY","Round 3","Lionel Wilson AB",0
"Isidore Newman AW","Round 3","Calhoun BF",0
"Leland IC","Round 3","College Prep TC",0
"Lionel Wilson AB","Round 3","Head Royce HY",1
"Notre Dame LH","Round 3","OES GR",0
"Notre Dame Pa","Round 3","Lowell LC",1
"Oakland Tech BK","Round 3","Casady CP",0
"Orosi PR","Round 3","College Prep HW",0
"Peninsula AS","Round 3","Lynbrook VN",1
"Peninsula JT","Round 3","Jesuit Prep BR",0
"Sonoma VK","Round 3","Beckman CC",0
"University Fresno HT","Round 3","Interlake YH",0
"University Fresno SW","Round 3","Head Royce MW",0
"USN MR","Round 3","Notre Dame AM",0
"CK McClatchy MD","Round 3","Skyline AA",0
"Cupertino AT","Round 3","Canyon Crest RT",0
"Delta Charter QS","Round 3","Chaminade CR",0
"Lowell BC","Round 3","Head Royce SH",0
"Lowell LC","Round 3","Notre Dame Pa",0
"Lynbrook VN","Round 3","Peninsula AS",0
"University Fresno BR","Round 3","Lowell CL",0
"New Trier BK","Round 4","Niles West SB",1
"McDonogh JN","Round 4","Skyline AA",1
"Skyline HL","Round 4","Cherry Creek HS",1
"Lincoln Prep BM","Round 4","Harker KH",1
"SVDP HM","Round 4","Lionel Wilson AB",1
"Rowland Hall LG","Round 4","Little Rock CT",1
"Clovis North PH","Round 4","Oak Hill ES",1
"East Kentwood BO","Round 4","Rowland Hall BM",1
"Kinkaid BY","Round 4","Rowland Hall BL",1
"Walter Payton BC","Round 4","St George's MV",1
"Bellarmine PA","Round 4","Cypress Bay HK",1
"Notre Dame CP","Round 4","College Prep XK",1
"Atholton KS","Round 4","Damien MP",0
"Katy Taylor AL","Round 4","Sage Ridge KR",1
"Lane Tech HV","Round 4","Palo Verde RS",1
"Katy Taylor BI","Round 4","Interlake DS",1
"CK McClatchy HN","Round 4","University Prep CM",0
"Polytechnic WX","Round 4","Highland GO",1
"University (NJ) MB","Round 4","Henry W. Grady CW",1
"Juan Diego AB","Round 4","Barstow MF",1
"CK McClatchy BF","Round 4","Whitney Young FB",1
"New Trier HS","Round 4","Whitney Young RJ",1
"CK McClatchy LP","Round 4","New Trier BW",1
"Head Royce CP","Round 4","USN BW",1
"Chandler CS","Round 4","New Trier DS",1
"Lindale RT","Round 4","Kinkaid RR",1
"Peninsula JK","Round 4","Harker JS",0
"Centennial LP","Round 4","Isidore Newman FL",1
"Peninsula TW","Round 4","Head Royce SH",1
"Calhoun KS","Round 4","College Prep HW",1
"Notre Dame FR","Round 4","Harker HS",1
"Jesuit Prep BR","Round 4","OES JL",1
"Damien MP","Round 4","Atholton KS",1
"La Costa Canyon YM","Round 4","New Trier CI",1
"Loyola GT","Round 4","Damien AY",1
"Interlake DS","Round 4","Katy Taylor",0
"Denver East MM","Round 4","Kent Denver CC",1
"Juan Diego DM","Round 4","Little Rock AD",1
"Polytechnic MH","Round 4","New Trier BY",1
"Bishop O'Dowd JH","Round 4","Jesuit Prep HL",1
"Brophy SS","Round 4","Head Royce MW",1
"Damien JR","Round 4","Reno BH",1
"Leland VV","Round 4","Bingham HM",1
"Jesuit Prep HL","Round 4","Bishop O'Dowd JH",0
"S. Eugene LS","Round 4","Head Royce DL",0
"Kent Denver KK","Round 4","Leland JJ",1
"Cypress Bay FM","Round 4","Bellarmine C",1
"Greenhill MW","Round 4","GW AC",1
"Lionel Wilson HS","Round 4","Jesuit Prep LV",1
"Whitney Young FB","Round 4","CK McClatchy BF",0
"New Trier BW","Round 4","CK McClatchy LP",0
"Whitney Young RJ","Round 4","New Trier HS",0
"University Prep CM","Round 4","CK McClatchy HN",1
"University CR","Round 4","Lowell CL",1
"Santa Margarita CW","Round 4","Asian Debate CS",1
"USN BW","Round 4","Head Royce CP",0
"Rowland Hall BL","Round 4","Kinkaid BY",0
"Rowland Hall BM","Round 4","East Kentwood BO",0
"Leland YD","Round 4","Polytechnic DL",1
"Kinkaid RR","Round 4","Lindale RT",0
"Nevada Union MS","Round 4","Encinitas WW",1
"Chaminade AL","Round 4","Leland IC",1
"College Prep MM","Round 4","Garfield PR",1
"Skyline AA","Round 4","McDonogh JN",0
"Barstow MF","Round 4","Juan Diego AB",0
"College Prep RH","Round 4","Interlake CW",1
"College Prep XK","Round 4","Notre Dame CP",0
"Cypress Bay KK","Round 4","Sonoma GK",1
"Heritage Hall DV","Round 4","Niles West RN",0
"Highland GO","Round 4","Polytechnic WX",0
"Highland Park CP","Round 4","Damien HB",1
"Jesuit Prep KT","Round 4","Nevada Union FH",1
"Jesuit Prep LV","Round 4","Lionel Wilson HS",0
"Oak Hill ES","Round 4","Clovis North PH",0
"OES JL","Round 4","Jesuit Prep BR",0
"Polytechnic DL","Round 4","Leland YD",0
"AKF NF","Round 4","Harker BO",0
"Bellarmine NF","Round 4","New Trier GT",0
"Bellarmine RC","Round 4","Cypress Bay FM",0
"Bellarmine SP","Round 4","Crosby FM",1
"Bingham HM","Round 4","Leland VV",0
"Bingham SS","Round 4","James Logan SB",1
"Bingham WW","Round 4","Peninsula JT",1
"Calhoun BF","Round 4","Chaminade CR",1
"Casady CP","Round 4","Little Rock JJ",1
"Cherry Creek HS","Round 4","Skyline HL",0
"College Prep DH","Round 4","Oak Hill RT",1
"College Prep HW","Round 4","Calhoun KS",0
"College Prep JM","Round 4","Garfield SR",1
"College Prep TC","Round 4","Notre Dame Pa",1
"Coppell CD","Round 4","Beckman CC",1
"Coronado HS","Round 4","Delta Charter QS",1
"Cypress Bay HK","Round 4","Bellarmine PA",0
"Cypress Bay VS","Round 4","Bellarmine SJ",1
"Encinitas WW","Round 4","Nevada Union MS",0
"Evergreen AC","Round 4","Brophy SG",1
"G. Washington AC","Round 4","Greenhill MW",0
"Hamilton ZF","Round 4","Damien CJ",1
"Harker HS","Round 4","Notre Dame FR",0
"Harker JS","Round 4","Peninsula JK",1
"Harker KH","Round 4","Lincoln Prep BM",0
"Harker WH","Round 4","Little Rock WW",1
"Head Royce DL","Round 4","S. Eugene LS",1
"Interlake GL","Round 4","Lynbrook MK",1
"Interlake LL","Round 4","Canyon Crest RT",1
"Interlake YH","Round 4","Littleton LS",1
"Isidore Newman FL","Round 4","Centennial LP",0
"Kent Denver CC","Round 4","Denver East MM",0
"Kent Denver MM","Round 4","Lowell DZ",1
"Leland JJ","Round 4","Kent Denver KK",0
"Lindale DW","Round 4","Peninsula AS",1
"Little Rock AD","Round 4","Juan Diego DM",0
"Little Rock JJ","Round 4","Casady CP",0
"Little Rock WW","Round 4","Harker WH",0
"Loyola CZ","Round 4","Orosi PR",1
"Nevada Union FH","Round 4","Jesuit Prep KT",0
"New Trier BY","Round 4","Polytechnic MH",0
"New Trier CS","Round 4","Notre Dame AM",0
"New Trier DS","Round 4","Chandler CS",0
"New Trier GT","Round 4","Bellarmine N",1
"Niles West BS","Round 4","Harker RS",1
"Niles West RN","Round 4","Heritage Hall DV",1
"Niles West SB","Round 4","New Trier BK",0
"Notre Dame AM","Round 4","New Trier CS",1
"Notre Dame PP","Round 4","Garfield CZ",1
"Oak Hill RT","Round 4","College Prep DH",0
"Oakland Tech PT","Round 4","USN BK",1
"OES GR","Round 4","Fairview KW",1
"Sage Ridge KR","Round 4","Katy Taylor",0
"St George's MV","Round 4","Walter Payton BC",0
"St. Francis GL","Round 4","Oakland Tech BK",1
"SVDP PR","Round 4","Sonoma VK",1
"Alliance Stern AV","Round 4","LA SP",1
"Ashland DB","Round 4","Interlake RY",0
"Barstow FN","Round 4","Peninsula MS",1
"Beckman CC","Round 4","Coppell CD",0
"Bingham KW","Round 4","University Fresno BS",1
"Brophy SG","Round 4","Evergreen AC",0
"Canyon Crest RT","Round 4","Interlake LL",0
"Chaminade CR","Round 4","Calhoun BF",0
"Chaminade TA","Round 4","University Fresno HT",0
"Cherry Creek GL","Round 4","Lowell BC",1
"Clovis North SM","Round 4","Lynbrook VN",1
"College Prep NP","Round 4","BYE",1
"Crosby FM","Round 4","Bellarmine S",0
"Damien AY","Round 4","Loyola GT",0
"Damien CJ","Round 4","Hamilton ZF",0
"Damien HB","Round 4","Highland Park (TX) CP",0
"Denver East YO","Round 4","Cypress Bay VSX",1
"Dougherty Valley FF","Round 4","Rowland Hall BS",1
"Fairview KW","Round 4","OES GR",0
"Fairview LL","Round 4","Notre Dame LH",1
"Garfield CZ","Round 4","Notre Dame PP",0
"Garfield PR","Round 4","College Prep MM",0
"Garfield SR","Round 4","College Prep JM",0
"Harker BO","Round 4","AKF NF",1
"Harker RS","Round 4","Niles West BS",0
"Head Royce MW","Round 4","Brophy SS",0
"Head Royce SH","Round 4","Peninsula TW",0
"Henry W. Grady CW","Round 4","University (NJ) MB",0
"Interlake CW","Round 4","College Prep RH",0
"Interlake RY","Round 4","Ashland DB",1
"James Logan SB","Round 4","Bingham SS",0
"Kent Denver HC","Round 4","USN MR",1
"LA SP","Round 4","Alliance Stern AV",0
"Little Rock CT","Round 4","Rowland Hall LG",0
"Littleton LS","Round 4","Interlake YH",0
"Lowell CL","Round 4","University CR",0
"Lowell DZ","Round 4","Kent Denver MM",0
"Loyola CC","Round 4","Lowell LC",1
"Lynbrook MC","Round 4","Cupertino AT",1
"Lynbrook MK","Round 4","Interlake GL",0
"Nevada Union LM","Round 4","Isidore Newman AW",1
"New Trier CI","Round 4","La Costa Canyon YM",0
"Palo Verde RS","Round 4","Lane Tech HV",0
"Peninsula MS","Round 4","Barstow FN",0
"Reno BH","Round 4","Damien JR",0
"Rowland Hall BS","Round 4","Dougherty Valley FF",0
"Rowland Hall DS","Round 4","University Fresno SW",0
"Sonoma DS","Round 4","CK McClatchy MD",0
"Sonoma GK","Round 4","Cypress Bay KK",0
"University Fresno BS","Round 4","Bingham KW",0
"USN BK","Round 4","Oakland Tech PT",0
"Asian Debate CS","Round 4","Santa Margarita CW",0
"Bellarmine SJ","Round 4","Cypress Bay VS",0
"Cypress Bay VSX","Round 4","Denver East YO",0
"Head Royce HY","Round 4","University Fresno BR",1
"Isidore Newman AW","Round 4","Nevada Union LM",0
"Leland IC","Round 4","Chaminade AL",0
"Lionel Wilson AB","Round 4","SVDP HM",0
"Notre Dame LH","Round 4","Fairview LL",0
"Notre Dame Pa","Round 4","College Prep TC",0
"Oakland Tech BK","Round 4","St. Francis GL",0
"Orosi PR","Round 4","Loyola CZ",0
"Peninsula AS","Round 4","Lindale DW",0
"Peninsula JT","Round 4","Bingham WW",0
"Sonoma VK","Round 4","SVDP PR",0
"University Fresno HT","Round 4","Chaminade TA",1
"University Fresno SW","Round 4","Rowland Hall DS",1
"USN MR","Round 4","Kent Denver HC",0
"CK McClatchy MD","Round 4","Sonoma DS",0
"Cupertino AT","Round 4","Lynbrook MC",0
"Delta Charter QS","Round 4","Coronado HS",0
"Lowell BC","Round 4","Cherry Creek GL",0
"Lowell LC","Round 4","Loyola CC",0
"Lynbrook VN","Round 4","Clovis North SM",0
"University Fresno BR","Round 4","Head Royce HY",0
"New Trier BK","Round 5","Leland YD",1
"McDonogh JN","Round 5","Nevada Union MS",1
"Skyline HL","Round 5","CK McClatchy BF",1
"Lincoln Prep BM","Round 5","Lindale RT",1
"SVDP HM","Round 5","New Trier DS",1
"Rowland Hall LG","Round 5","Harker WH",1
"Clovis North PH","Round 5","College Prep DH",1
"East Kentwood BO","Round 5","Niles West SB",1
"Kinkaid BY","Round 5","Polytechnic MH",1
"Walter Payton BC","Round 5","Notre Dame PP",1
"Bellarmine PA","Round 5","Encinitas WW",1
"Notre Dame CP","Round 5","College Prep JM",1
"Atholton KS","Round 5","Harker KH",1
"Katy Taylor AL","Round 5","Damien MP",1
"Lane Tech HV","Round 5","Whitney Young FB",1
"Katy Taylor BI","Round 5","Bishop O'Dowd JH",1
"CK McClatchy HN","Round 5","Head Royce DL",1
"Polytechnic WX","Round 5","New Trier HS",0
"University (NJ) MB","Round 5","Coppell CD",1
"Juan Diego AB","Round 5","Damien JR",1
"CK McClatchy BF","Round 5","Skyline HL",0
"New Trier HS","Round 5","Polytechnic WX",1
"CK McClatchy LP","Round 5","Notre Dame FR",1
"Head Royce CP","Round 5","New Trier BW",1
"Chandler CS","Round 5","University Prep CM",1
"Lindale RT","Round 5","Lincoln Prep BM",0
"Peninsula JK","Round 5","Jesuit Prep KT",1
"Centennial LP","Round 5","Harker HS",1
"Peninsula TW","Round 5","Interlake GL",1
"Calhoun KS","Round 5","Kent Denver KK",1
"Notre Dame FR","Round 5","CK McClatchy LP",0
"Jesuit Prep BR","Round 5","Juan Diego DM",1
"Damien MP","Round 5","Katy Taylor AL",0
"La Costa Canyon YM","Round 5","College Prep RH",1
"Loyola GT","Round 5","Barstow MF",0
"Interlake DS","Round 5","Sonoma DS",1
"Denver East MM","Round 5","Polytechnic DL",1
"Juan Diego DM","Round 5","Jesuit Prep BR",0
"Polytechnic MH","Round 5","Kinkaid BY",0
"Bishop O'Dowd JH","Round 5","Katy Taylor BI",0
"Brophy SS","Round 5","Interlake CW",1
"Damien JR","Round 5","Juan Diego AB",0
"Leland VV","Round 5","College Prep TC",1
"Jesuit Prep HL","Round 5","Notre Dame AM",1
"S. Eugene LS","Round 5","New Trier CI",1
"Kent Denver KK","Round 5","Calhoun KS",0
"Cypress Bay FM","Round 5","Cherry Creek HS",1
"Greenhill MW","Round 5","Niles West RN",1
"Lionel Wilson HS","Round 5","Highland GO",1
"Whitney Young FB","Round 5","Lane Tech HV",0
"New Trier BW","Round 5","Head Royce CP",0
"Whitney Young RJ","Round 5","Hamilton ZF",1
"University Prep CM","Round 5","Chandler CS",0
"University CR","Round 5","Denver East YO",1
"Santa Margarita CW","Round 5","New Trier GT",1
"USN BW","Round 5","Kent Denver HC",1
"Rowland Hall BL","Round 5","Henry W. Grady CW",1
"Rowland Hall BM","Round 5","Evergreen AC",1
"Leland YD","Round 5","New Trier BK",0
"Kinkaid RR","Round 5","Harker JS",1
"Nevada Union MS","Round 5","McDonogh JN",0
"Chaminade AL","Round 5","Casady CP",1
"College Prep MM","Round 5","Garfield SR",1
"Skyline AA","Round 5","Bellarmine SP",1
"Barstow MF","Round 5","Loyola GT",1
"College Prep RH","Round 5","La Costa Canyon YM",0
"College Prep XK","Round 5","Dougherty Valley FF",1
"Cypress Bay KK","Round 5","Harker BO",1
"Heritage Hall DV","Round 5","Sage Ridge KR",1
"Highland GO","Round 5","Lionel Wilson HS",0
"Highland Park CP","Round 5","Bingham SS",1
"Jesuit Prep KT","Round 5","Peninsula JK",0
"Jesuit Prep LV","Round 5","Alliance Stern AV",1
"Oak Hill ES","Round 5","Garfield CZ",1
"OES JL","Round 5","Palo Verde RS",1
"Polytechnic DL","Round 5","Denver East MM",0
"AKF NF","Round 5","Lionel Wilson AB",1
"Bellarmine NF","Round 5","Asian Debate CS",1
"Bellarmine RC","Round 5","OES GR",1
"Bellarmine SP","Round 5","Skyline AA",0
"Bingham HM","Round 5","Interlake RY",1
"Bingham SS","Round 5","Highland Park CP",0
"Bingham WW","Round 5","Interlake LL",1
"Calhoun BF","Round 5","Kent Denver MM",1
"Casady CP","Round 5","Chaminade AL",0
"Cherry Creek HS","Round 5","Cypress Bay FM",0
"College Prep DH","Round 5","Clovis North PH",0
"College Prep HW","Round 5","Oakland Tech PT",1
"College Prep JM","Round 5","Notre Dame CP",0
"College Prep TC","Round 5","Leland VV",0
"Coppell CD","Round 5","University (NJ) MB",0
"Coronado HS","Round 5","Damien CJ",1
"Cypress Bay HK","Round 5","SVDP PR",1
"Cypress Bay VS","Round 5","Interlake YH",0
"Encinitas WW","Round 5","Bellarmine PA",0
"Evergreen AC","Round 5","Rowland Hall BM",0
"G. Washington AC","Round 5","Damien AY",1
"Hamilton ZF","Round 5","Whitney Young RJ",0
"Harker HS","Round 5","Centennial LP",0
"Harker JS","Round 5","Kinkaid RR",0
"Harker KH","Round 5","Atholton KS",0
"Harker WH","Round 5","Rowland Hall LG",0
"Head Royce DL","Round 5","CK McClatchy HN",0
"Interlake GL","Round 5","Peninsula TW",0
"Interlake LL","Round 5","Bingham WW",0
"Interlake YH","Round 5","Cypress Bay VS",1
"Isidore Newman FL","Round 5","Little Rock AD",0
"Kent Denver CC","Round 5","Reno BH",1
"Kent Denver MM","Round 5","Calhoun BF",0
"Leland JJ","Round 5","St George's MV",0
"Lindale DW","Round 5","Niles West BS",1
"Little Rock AD","Round 5","Isidore Newman FL",1
"Little Rock JJ","Round 5","Notre Dame Pa",1
"Little Rock WW","Round 5","Lynbrook MK",1
"Loyola CZ","Round 5","Oak Hill RT",1
"Nevada Union FH","Round 5","Little Rock CT",1
"New Trier BY","Round 5","Beckman CC",1
"New Trier CS","Round 5","CK McClatchy MD",1
"New Trier DS","Round 5","SVDP HM",0
"New Trier GT","Round 5","Santa Margarita CW",0
"Niles West BS","Round 5","Lindale DW",0
"Niles West RN","Round 5","Greenhill MW",0
"Niles West SB","Round 5","East Kentwood BO",0
"Notre Dame AM","Round 5","Jesuit Prep HL",0
"Notre Dame PP","Round 5","Walter Payton BC",0
"Oak Hill RT","Round 5","Loyola CZ",0
"Oakland Tech PT","Round 5","College Prep HW",0
"OES GR","Round 5","Bellarmine RC",0
"Sage Ridge KR","Round 5","Heritage Hall DV",0
"St George's MV","Round 5","Leland JJ",1
"St. Francis GL","Round 5","Chaminade CR",1
"SVDP PR","Round 5","Cypress Bay HK",0
"Alliance Stern AV","Round 5","Jesuit Prep LV",0
"Ashland DB","Round 5","Leland IC",1
"Barstow FN","Round 5","Head Royce MW",0
"Beckman CC","Round 5","New Trier BY",0
"Bingham KW","Round 5","Canyon Crest RT",1
"Brophy SG","Round 5","Orosi PR",1
"Canyon Crest RT","Round 5","Bingham KW",0
"Chaminade CR","Round 5","St. Francis GL",0
"Chaminade TA","Round 5","Lowell LC",1
"Cherry Creek GL","Round 5","University Fresno HT",1
"Clovis North SM","Round 5","Crosby FM",0
"College Prep NP","Round 5","Littleton LS",0
"Crosby FM","Round 5","Clovis North SM",1
"Damien AY","Round 5","GW AC",0
"Damien CJ","Round 5","Coronado HS",0
"Damien HB","Round 5","Fairview KW",0
"Denver East YO","Round 5","University CR",0
"Dougherty Valley FF","Round 5","College Prep XK",0
"Fairview KW","Round 5","Damien HB",1
"Fairview LL","Round 5","Peninsula JT",1
"Garfield CZ","Round 5","Oak Hill ES",0
"Garfield PR","Round 5","Lowell CL",0
"Garfield SR","Round 5","College Prep MM",0
"Harker BO","Round 5","Cypress Bay KK",0
"Harker RS","Round 5","Sonoma VK",1
"Head Royce MW","Round 5","Barstow FN",1
"Head Royce SH","Round 5","Loyola CC",0
"Henry W. Grady CW","Round 5","Rowland Hall BL",0
"Interlake CW","Round 5","Brophy SS",0
"Interlake RY","Round 5","Bingham HM",0
"James Logan SB","Round 5","LA SP",1
"Kent Denver HC","Round 5","USN BW",0
"LA SP","Round 5","James Logan SB",0
"Little Rock CT","Round 5","Nevada Union FH",0
"Littleton LS","Round 5","College Prep NP",1
"Lowell CL","Round 5","Garfield PR",1
"Lowell DZ","Round 5","USN BK",1
"Loyola CC","Round 5","Head Royce SH",1
"Lynbrook MC","Round 5","Peninsula AS",1
"Lynbrook MK","Round 5","Little Rock WW",0
"Nevada Union LM","Round 5","Head Royce HY",1
"New Trier CI","Round 5","S. Eugene LS",0
"Palo Verde RS","Round 5","OES JL",0
"Peninsula MS","Round 5","Delta Charter QS",1
"Reno BH","Round 5","Kent Denver CC",0
"Rowland Hall BS","Round 5","Cypress Bay VSX",1
"Rowland Hall DS","Round 5","Oakland Tech BK",1
"Sonoma DS","Round 5","Interlake DS",0
"Sonoma GK","Round 5","University Fresno SW",1
"University Fresno BS","Round 5","Cupertino AT",1
"USN BK","Round 5","Lowell DZ",0
"Asian Debate CS","Round 5","Bellarmine NF",0
"Bellarmine SJ","Round 5","BYE",1
"Cypress Bay VSX","Round 5","Rowland Hall BS",0
"Head Royce HY","Round 5","Nevada Union LM",0
"Isidore Newman AW","Round 5","University Fresno BR",1
"Leland IC","Round 5","Ashland DB",0
"Lionel Wilson AB","Round 5","AKF NF",0
"Notre Dame LH","Round 5","Lynbrook VN",1
"Notre Dame Pa","Round 5","Little Rock JJ",0
"Oakland Tech BK","Round 5","Rowland Hall DS",0
"Orosi PR","Round 5","Brophy SG",0
"Peninsula AS","Round 5","Lynbrook MC",0
"Peninsula JT","Round 5","Fairview LL",0
"Sonoma VK","Round 5","Harker RS",0
"University Fresno HT","Round 5","Cherry Creek GL",0
"University Fresno SW","Round 5","Sonoma GK",0
"USN MR","Round 5","Lowell BC",1
"CK McClatchy MD","Round 5","New Trier CS",0
"Cupertino AT","Round 5","University Fresno BS",0
"Delta Charter QS","Round 5","Peninsula MS",0
"Lowell BC","Round 5","USN MR",0
"Lowell LC","Round 5","Chaminade TA",0
"Lynbrook VN","Round 5","Notre Dame LH",0
"University Fresno BR","Round 5","Isidore Newman AW",0
"New Trier BK","Round 6","Chandler CS",1
"McDonogh JN","Round 6","Damien MP",1
"Skyline HL","Round 6","New Trier HS",1
"Lincoln Prep BM","Round 6","CK McClatchy LP",1
"SVDP HM","Round 6","Denver East MM",1
"Rowland Hall LG","Round 6","Cypress Bay FM",1
"Clovis North PH","Round 6","Lionel Wilson HS",1
"East Kentwood BO","Round 6","Juan Diego AB",1
"Kinkaid BY","Round 6","Nevada Union MS",1
"Walter Payton BC","Round 6","Calhoun KS",1
"Bellarmine PA","Round 6","Katy Taylor AL",1
"Notre Dame CP","Round 6","Whitney Young RJ",1
"Atholton KS","Round 6","Calhoun BF",1
"Katy Taylor AL","Round 6","Bellarmine PA",0
"Lane Tech HV","Round 6","University Prep CM",1
"Katy Taylor BI","Round 6","Greenhill MW",1
"CK McClatchy HN","Round 6","Jesuit Prep BR",1
"Polytechnic WX","Round 6","Centennial LP",1
"University (NJ) MB","Round 6","Notre Dame FR",1
"Juan Diego AB","Round 6","East Kentwood BO",0
"CK McClatchy BF","Round 6","Leland YD",1
"New Trier HS","Round 6","Skyline HL",0
"CK McClatchy LP","Round 6","Lincoln Prep BM",0
"Head Royce CP","Round 6","Kinkaid RR",1
"Chandler CS","Round 6","New Trier BK",0
"Lindale RT","Round 6","La Costa Canyon YM",1
"Peninsula JK","Round 6","Barstow MF",1
"Centennial LP","Round 6","Polytechnic WX",0
"Peninsula TW","Round 6","James Logan SB",1
"Calhoun KS","Round 6","Walter Payton BC",0
"Notre Dame FR","Round 6","University (NJ) MB",0
"Jesuit Prep BR","Round 6","CK McClatchy HN",0
"Damien MP","Round 6","McDonogh JN",0
"La Costa Canyon YM","Round 6","Lindale RT",0
"Loyola GT","Round 6","Fairview KW",1
"Interlake DS","Round 6","GW AC",1
"Denver East MM","Round 6","SVDP HM",0
"Juan Diego DM","Round 6","Kent Denver CC",1
"Polytechnic MH","Round 6","Brophy SG",1
"Bishop O'Dowd JH","Round 6","Dougherty Valley FF",1
"Brophy SS","Round 6","New Trier DS",1
"Damien JR","Round 6","Bellarmine RC",1
"Leland VV","Round 6","New Trier BY",1
"Jesuit Prep HL","Round 6","Interlake YH",1
"S. Eugene LS","Round 6","College Prep DH",1
"Kent Denver KK","Round 6","Loyola CZ",1
"Cypress Bay FM","Round 6","Rowland Hall LG",0
"Greenhill MW","Round 6","Katy Taylor BI",0
"Lionel Wilson HS","Round 6","Clovis North PH",0
"Whitney Young FB","Round 6","Bingham KW",1
"New Trier BW","Round 6","Coronado HS",1
"Whitney Young RJ","Round 6","Notre Dame CP",0
"University Prep CM","Round 6","Lane Tech HV",0
"University CR","Round 6","Loyola CC",1
"Santa Margarita CW","Round 6","Nevada Union FH",1
"USN BW","Round 6","Bingham WW",1
"Rowland Hall BL","Round 6","Head Royce MW",1
"Rowland Hall BM","Round 6","Cypress Bay HK",1
"Leland YD","Round 6","CK McClatchy BF",0
"Kinkaid RR","Round 6","Head Royce CP",0
"Nevada Union MS","Round 6","Kinkaid BY",0
"Chaminade AL","Round 6","Coppell CD",1
"College Prep MM","Round 6","Cherry Creek HS",1
"Skyline AA","Round 6","College Prep HW",1
"Barstow MF","Round 6","Peninsula JK",0
"College Prep RH","Round 6","Lindale DW",1
"College Prep XK","Round 6","Harker KH",1
"Cypress Bay KK","Round 6","Niles West RN",1
"Heritage Hall DV","Round 6","Head Royce DL",1
"Highland GO","Round 6","Little Rock AD",1
"Highland Park CP","Round 6","Niles West SB",1
"Jesuit Prep KT","Round 6","Notre Dame PP",1
"Jesuit Prep LV","Round 6","Harker HS",1
"Oak Hill ES","Round 6","St George's MV",1
"OES JL","Round 6","College Prep JM",1
"Polytechnic DL","Round 6","Encinitas WW",1
"AKF NF","Round 6","Hamilton ZF",1
"Bellarmine NF","Round 6","Lowell CL",1
"Bellarmine RC","Round 6","Damien JR",0
"Bellarmine SP","Round 6","Lowell DZ",1
"Bingham HM","Round 6","Littleton LS",1
"Bingham SS","Round 6","Fairview LL",1
"Bingham WW","Round 6","USN BW",0
"Calhoun BF","Round 6","Atholton KS",0
"Casady CP","Round 6","Harker BO",1
"Cherry Creek HS","Round 6","College Prep MM",0
"College Prep DH","Round 6","S. Eugene LS",0
"College Prep HW","Round 6","Skyline AA",0
"College Prep JM","Round 6","OES JL",0
"College Prep TC","Round 6","Nevada Union LM",1
"Coppell CD","Round 6","Chaminade AL",0
"Coronado HS","Round 6","New Trier BW",0
"Cypress Bay HK","Round 6","Rowland Hall BM",0
"Cypress Bay VS","Round 6","Cherry Creek GL",1
"Encinitas WW","Round 6","Polytechnic DL",0
"Evergreen AC","Round 6","New Trier CI",1
"G. Washington AC","Round 6","Interlake DS",0
"Hamilton ZF","Round 6","AKF NF",0
"Harker HS","Round 6","Jesuit Prep LV",0
"Harker JS","Round 6","Little Rock JJ",0
"Harker KH","Round 6","College Prep XK",0
"Harker WH","Round 6","Alliance Stern AV",1
"Head Royce DL","Round 6","Heritage Hall DV",0
"Interlake GL","Round 6","Beckman CC",1
"Interlake LL","Round 6","Little Rock CT",1
"Interlake YH","Round 6","Jesuit Prep HL",0
"Isidore Newman FL","Round 6","Damien AY",1
"Kent Denver CC","Round 6","Juan Diego DM",0
"Kent Denver MM","Round 6","Interlake CW",1
"Leland JJ","Round 6","Garfield SR",1
"Lindale DW","Round 6","College Prep RH",0
"Little Rock AD","Round 6","Highland GO",0
"Little Rock JJ","Round 6","Harker JS",1
"Little Rock WW","Round 6","Henry W. Grady CW",1
"Loyola CZ","Round 6","Kent Denver KK",0
"Nevada Union FH","Round 6","Santa Margarita CW",0
"New Trier BY","Round 6","Leland VV",0
"New Trier CS","Round 6","Denver East YO",1
"New Trier DS","Round 6","Brophy SS",0
"New Trier GT","Round 6","Harker RS",1
"Niles West BS","Round 6","Crosby FM",1
"Niles West RN","Round 6","Cypress Bay KK",0
"Niles West SB","Round 6","Highland Park (TX) CP",0
"Notre Dame AM","Round 6","Reno BH",1
