"","aff","aff_speaks","neg","neg_speaks","win"
"1","28960,28958",54.5,"26601,26599",55.6,"0"
"2","23156,26632",56.2,"23357,23355",55.8,"1"
"3","26633,26635",56.9,"23518,24218",55.3,"1"
"4","22775,24512",56.7,"23157,26636",55.1,"1"
"5","26565,28948",55.5,"26471,28840",54.9,"1"
"6","22856,8160",55,"22881,23967",55.1,"0"
"7","28863,28864",55.2,"26479,25805",56.5,"0"
"8","26466,15592",56,"24819,29025",56.1,"1"
"9","23394,23393",56.1,"24680,24682",55.6,"1"
"10","26705,26706",54.1,"24725,29078",54.9,"0"
"11","28938,28937",57.2,"24611,24608",56.4,"1"
"12","24545,28842",55.3,"22818,26477",56,"0"
"13","26569,23008",54,"15645,22801",55.7,"0"
"14","26490,23279",54.7,"22794,22800",55.7,"0"
"15","28820,28821",54.5,"22853,24606",56.5,"0"
"16","26462,26465",55.1,"26564,28950",55.8,"0"
"17","24694,28897",56.9,"24709,24712",56.2,"1"
"18","25063,25068",56.4,"24541,15519",56.7,"0"
"19","28922,26679",55,"26473,26475",55.3,"0"
"20","26675,26676",56.3,"26566,28951",54.3,"1"
"21","23007,22944",55,"28924,28923",54.9,"1"
"22","28921,23132",56.5,"24695,28900",56.5,"1"
"23","26568,15591",56.1,"24613,28949",54.5,"1"
"24","26471,28840",54.5,"26462,26465",54.9,"0"
"25","24613,28949",53.5,"26633,26635",55.7,"0"
"26","22818,26477",55.5,"28863,28864",53.1,"1"
"27","24709,24712",57.7,"26466,15592",56.6,"1"
"28","26473,26475",55.1,"26705,26706",54.6,"1"
"29","28924,28923",55.3,"28945,28919",53.3,"1"
"30","15645,22801",57.9,"25063,25068",57.3,"1"
"31","23157,26636",54.3,"22856,8160",55.2,"0"
"32","22853,24606",57.2,"28921,23132",56.2,"1"
"33","24680,24682",54.5,"28938,28937",56.9,"0"
"34","26564,28950",55.1,"26569,23008",55.5,"0"
"35","26601,26599",56.7,"26675,26676",56.3,"1"
"36","22881,23967",56.5,"26568,15591",56.5,"0"
"37","22794,22800",56.3,"23156,26632",57,"0"
"38","24541,15519",57.5,"26565,28948",54.2,"1"
"39","26566,28951",55.4,"28960,28958",56.5,"0"
"40","23357,23355",55.7,"26490,23279",55.1,"1"
"41","24611,24608",55.6,"28820,28821",54.2,"1"
"42","23518,24218",55.1,"23007,22944",55.4,"0"
"43","26479,25805",55.9,"24545,28842",55.9,"0"
"44","24725,29078",54.8,"28922,26679",55.2,"0"
"45","24819,29025",56.3,"24694,28897",56.8,"0"
"46","24695,28900",56.4,"23394,23393",55.8,"1"
"47","26566,28951",54.9,"24819,29025",56.9,"0"
"48","24611,24608",56.1,"26471,28840",54.7,"1"
"49","23357,23355",55.6,"24725,29078",55.7,"0"
"50","26462,26465",55.1,"24545,28842",55.9,"0"
"51","28960,28958",55.7,"28922,26679",54.6,"1"
"52","28820,28821",56.7,"26490,23279",55.8,"1"
"53","25063,25068",56.9,"26705,26706",54.7,"1"
"54","23518,24218",55,"24680,24682",55.2,"1"
"55","28921,23132",58.4,"26466,15592",56,"0"
"56","28863,28864",54.1,"23157,26636",55.3,"0"
"57","24694,28897",55.5,"22775,24512",54.8,"0"
"58","26569,23008",55.9,"22881,23967",56.6,"0"
"59","26675,26676",56.5,"23394,23393",54.5,"1"
"60","28938,28937",56.6,"23156,26632",55.8,"1"
"61","26633,26635",55.7,"22853,24606",55.6,"1"
"62","24541,15519",56.5,"26568,15591",55.7,"1"
"63","23007,22944",56.5,"26479,25805",57.3,"0"
"64","22818,26477",56.4,"26601,26599",56.8,"0"
"65","22794,22800",55.8,"26565,28948",56,"0"
"66","22856,8160",54.5,"28945,28919",54.5,"1"
"67","24709,24712",57.1,"28924,28923",55.1,"1"
"68","26564,28950",54.8,"24695,28900",56.5,"0"
"69","26473,26475",56.1,"15645,22801",56.7,"0"
"70","26601,26599",56.7,"26633,26635",56.6,"1"
"71","26568,15591",57,"22818,26477",56.4,"1"
"72","23394,23393",56.1,"28820,28821",55.2,"1"
"73","24725,29078",56.1,"24709,24712",56.8,"1"
"74","26565,28948",54.2,"24694,28897",56.4,"0"
"75","24545,28842",57.4,"26675,26676",56.9,"1"
"76","26466,15592",55.8,"24611,24608",56.2,"0"
"77","23156,26632",56.7,"28960,28958",56.7,"1"
"78","24695,28900",55.5,"23007,22944",54.1,"1"
"79","22881,23967",55.5,"26473,26475",54.5,"1"
"80","22853,24606",55.3,"26462,26465",54.5,"1"
"81","26479,25805",55.5,"22856,8160",55.5,"1"
"82","15645,22801",56.5,"24541,15519",56.5,"1"
"83","24819,29025",56.2,"24613,28949",54.3,"1"
"84","22775,24512",55.8,"28938,28937",56.9,"1"
"85","24680,24682",55.4,"26564,28950",55.1,"1"
"86","26490,23279",54.8,"23518,24218",54.6,"1"
"87","28924,28923",56.6,"26569,23008",55.5,"1"
"88","23157,26636",56.4,"23357,23355",55.1,"1"
"89","28922,26679",55.9,"22794,22800",56.5,"0"
"90","26705,26706",52.5,"28921,23132",56.3,"0"
"91","28945,28919",55.4,"25063,25068",56.9,"0"
"92","26471,28840",57.1,"26566,28951",56.3,"1"
"93","23518,24218",55.5,"26462,26465",55.5,"0"
"94","22794,22800",0,"26466,15592",0,"0"
"95","23357,23355",54.6,"28863,28864",54.8,"0"
"96","24613,28949",56.6,"26569,23008",56.3,"1"
"97","24680,24682",55.5,"28945,28919",54.1,"1"
"98","26566,28951",53.7,"28820,28821",54.1,"0"
"99","22818,26477",56.7,"23394,23393",55.8,"1"
"100","26490,23279",56.7,"28922,26679",57.5,"0"
